bic_1:1-5000000	BIC_000
bic_1:5000001-10000000	BIC_001
bic_1:10000001-15000000	BIC_002
bic_1:15000001-20000000	BIC_003
bic_1:20000001-25000000	BIC_004
bic_1:25000001-30000000	BIC_005
bic_1:30000001-35000000	BIC_006
bic_1:35000001-40000000	BIC_007
bic_1:40000001-45000000	BIC_008
bic_1:45000001-50000000	BIC_009
bic_1:50000001-55000000	BIC_010
bic_1:55000001-60000000	BIC_011
bic_1:60000001-65000000	BIC_012
bic_1:65000001-70000000	BIC_013
bic_1:70000001-75000000	BIC_014
bic_1:75000001-80000000	BIC_015
bic_1:80000001-85000000	BIC_016
bic_1:85000001-90000000	BIC_017
bic_1:90000001-95000000	BIC_018
bic_1:95000001-100000000	BIC_019
bic_1:100000001-105000000	BIC_020
bic_1:105000001-110000000	BIC_021
bic_1:110000001-115000000	BIC_022
bic_1:115000001-120000000	BIC_023
bic_1:120000001-125000000	BIC_024
bic_1:125000001-130000000	BIC_025
bic_1:130000001-135000000	BIC_026
bic_1:135000001-140000000	BIC_027
bic_1:140000001-145000000	BIC_028
bic_1:145000001-150000000	BIC_029
bic_1:150000001-155000000	BIC_030
bic_1:155000001-157199310	BIC_031
bic_2:1-5000000	BIC_032
bic_2:5000001-10000000	BIC_033
bic_2:10000001-15000000	BIC_034
bic_2:15000001-20000000	BIC_035
bic_2:20000001-25000000	BIC_036
bic_2:25000001-30000000	BIC_037
bic_2:30000001-35000000	BIC_038
bic_2:35000001-40000000	BIC_039
bic_2:40000001-45000000	BIC_040
bic_2:45000001-50000000	BIC_041
bic_2:50000001-55000000	BIC_042
bic_2:55000001-60000000	BIC_043
bic_2:60000001-65000000	BIC_044
bic_2:65000001-70000000	BIC_045
bic_2:70000001-75000000	BIC_046
bic_2:75000001-80000000	BIC_047
bic_2:80000001-85000000	BIC_048
bic_2:85000001-90000000	BIC_049
bic_2:90000001-95000000	BIC_050
bic_2:95000001-100000000	BIC_051
bic_2:100000001-105000000	BIC_052
bic_2:105000001-110000000	BIC_053
bic_2:110000001-115000000	BIC_054
bic_2:115000001-120000000	BIC_055
bic_2:120000001-125000000	BIC_056
bic_2:125000001-130000000	BIC_057
bic_2:130000001-135000000	BIC_058
bic_2:135000001-140000000	BIC_059
bic_2:140000001-145000000	BIC_060
bic_2:145000001-150000000	BIC_061
bic_2:150000001-155000000	BIC_062
bic_2:155000001-160000000	BIC_063
bic_2:160000001-165000000	BIC_064
bic_2:165000001-170000000	BIC_065
bic_2:170000001-175000000	BIC_066
bic_2:175000001-180000000	BIC_067
bic_2:180000001-185000000	BIC_068
bic_2:185000001-190000000	BIC_069
bic_2:190000001-195000000	BIC_070
bic_2:195000001-200000000	BIC_071
bic_2:200000001-205000000	BIC_072
bic_2:205000001-210000000	BIC_073
bic_2:210000001-215000000	BIC_074
bic_2:215000001-220000000	BIC_075
bic_2:220000001-225000000	BIC_076
bic_2:225000001-230000000	BIC_077
bic_2:230000001-230803607	BIC_078
bic_3:1-5000000	BIC_079
bic_3:5000001-10000000	BIC_080
bic_3:10000001-15000000	BIC_081
bic_3:15000001-20000000	BIC_082
bic_3:20000001-25000000	BIC_083
bic_3:25000001-30000000	BIC_084
bic_3:30000001-35000000	BIC_085
bic_3:35000001-40000000	BIC_086
bic_3:40000001-45000000	BIC_087
bic_3:45000001-50000000	BIC_088
bic_3:50000001-55000000	BIC_089
bic_3:55000001-60000000	BIC_090
bic_3:60000001-65000000	BIC_091
bic_3:65000001-70000000	BIC_092
bic_3:70000001-75000000	BIC_093
bic_3:75000001-80000000	BIC_094
bic_3:80000001-85000000	BIC_095
bic_3:85000001-90000000	BIC_096
bic_3:90000001-95000000	BIC_097
bic_3:95000001-100000000	BIC_098
bic_3:100000001-105000000	BIC_099
bic_3:105000001-110000000	BIC_100
bic_3:110000001-115000000	BIC_101
bic_3:115000001-120000000	BIC_102
bic_3:120000001-125000000	BIC_103
bic_3:125000001-130000000	BIC_104
bic_3:130000001-135000000	BIC_105
bic_3:135000001-140000000	BIC_106
bic_3:140000001-145000000	BIC_107
bic_3:145000001-150000000	BIC_108
bic_3:150000001-155000000	BIC_109
bic_3:155000001-160000000	BIC_110
bic_3:160000001-165000000	BIC_111
bic_3:165000001-170000000	BIC_112
bic_3:170000001-175000000	BIC_113
bic_3:175000001-180000000	BIC_114
bic_3:180000001-185000000	BIC_115
bic_3:185000001-190000000	BIC_116
bic_3:190000001-195000000	BIC_117
bic_3:195000001-200000000	BIC_118
bic_3:200000001-205000000	BIC_119
bic_3:205000001-210000000	BIC_120
bic_3:210000001-215000000	BIC_121
bic_3:215000001-217285018	BIC_122
bic_4:1-5000000	BIC_123
bic_4:5000001-10000000	BIC_124
bic_4:10000001-15000000	BIC_125
bic_4:15000001-20000000	BIC_126
bic_4:20000001-25000000	BIC_127
bic_4:25000001-30000000	BIC_128
bic_4:30000001-35000000	BIC_129
bic_4:35000001-40000000	BIC_130
bic_4:40000001-45000000	BIC_131
bic_4:45000001-50000000	BIC_132
bic_4:50000001-55000000	BIC_133
bic_4:55000001-60000000	BIC_134
bic_4:60000001-65000000	BIC_135
bic_4:65000001-70000000	BIC_136
bic_4:70000001-75000000	BIC_137
bic_4:75000001-80000000	BIC_138
bic_4:80000001-85000000	BIC_139
bic_4:85000001-90000000	BIC_140
bic_4:90000001-95000000	BIC_141
bic_4:95000001-100000000	BIC_142
bic_4:100000001-105000000	BIC_143
bic_4:105000001-110000000	BIC_144
bic_4:110000001-115000000	BIC_145
bic_4:115000001-120000000	BIC_146
bic_4:120000001-125000000	BIC_147
bic_4:125000001-130000000	BIC_148
bic_4:130000001-134897391	BIC_149
bic_5:1-5000000	BIC_150
bic_5:5000001-10000000	BIC_151
bic_5:10000001-15000000	BIC_152
bic_5:15000001-20000000	BIC_153
bic_5:20000001-25000000	BIC_154
bic_5:25000001-30000000	BIC_155
bic_5:30000001-35000000	BIC_156
bic_5:35000001-40000000	BIC_157
bic_5:40000001-45000000	BIC_158
bic_5:45000001-50000000	BIC_159
bic_5:50000001-55000000	BIC_160
bic_5:55000001-60000000	BIC_161
bic_5:60000001-65000000	BIC_162
bic_5:65000001-70000000	BIC_163
bic_5:70000001-75000000	BIC_164
bic_5:75000001-80000000	BIC_165
bic_5:80000001-85000000	BIC_166
bic_5:85000001-90000000	BIC_167
bic_5:90000001-95000000	BIC_168
bic_5:95000001-100000000	BIC_169
bic_5:100000001-105000000	BIC_170
bic_5:105000001-110000000	BIC_171
bic_5:110000001-115000000	BIC_172
bic_5:115000001-120000000	BIC_173
bic_5:120000001-125000000	BIC_174
bic_5:125000001-130000000	BIC_175
bic_5:130000001-135000000	BIC_176
bic_5:135000001-140000000	BIC_177
bic_5:140000001-145000000	BIC_178
bic_5:145000001-150000000	BIC_179
bic_5:150000001-155000000	BIC_180
bic_5:155000001-160000000	BIC_181
bic_5:160000001-164417349	BIC_182
bic_6:1-5000000	BIC_183
bic_6:5000001-10000000	BIC_184
bic_6:10000001-15000000	BIC_185
bic_6:15000001-20000000	BIC_186
bic_6:20000001-25000000	BIC_187
bic_6:25000001-30000000	BIC_188
bic_6:30000001-35000000	BIC_189
bic_6:35000001-40000000	BIC_190
bic_6:40000001-45000000	BIC_191
bic_6:45000001-50000000	BIC_192
bic_6:50000001-55000000	BIC_193
bic_6:55000001-60000000	BIC_194
bic_6:60000001-65000000	BIC_195
bic_6:65000001-70000000	BIC_196
bic_6:70000001-75000000	BIC_197
bic_6:75000001-80000000	BIC_198
bic_6:80000001-85000000	BIC_199
bic_6:85000001-90000000	BIC_200
bic_6:90000001-95000000	BIC_201
bic_6:95000001-100000000	BIC_202
bic_6:100000001-105000000	BIC_203
bic_6:105000001-110000000	BIC_204
bic_6:110000001-115000000	BIC_205
bic_6:115000001-120000000	BIC_206
bic_6:120000001-125000000	BIC_207
bic_6:125000001-130000000	BIC_208
bic_6:130000001-130125384	BIC_209
bic_7:1-5000000	BIC_210
bic_7:5000001-10000000	BIC_211
bic_7:10000001-15000000	BIC_212
bic_7:15000001-20000000	BIC_213
bic_7:20000001-25000000	BIC_214
bic_7:25000001-30000000	BIC_215
bic_7:30000001-35000000	BIC_216
bic_7:35000001-40000000	BIC_217
bic_7:40000001-45000000	BIC_218
bic_7:45000001-50000000	BIC_219
bic_7:50000001-55000000	BIC_220
bic_7:55000001-60000000	BIC_221
bic_7:60000001-65000000	BIC_222
bic_7:65000001-70000000	BIC_223
bic_7:70000001-75000000	BIC_224
bic_7:75000001-80000000	BIC_225
bic_7:80000001-85000000	BIC_226
bic_7:85000001-90000000	BIC_227
bic_7:90000001-95000000	BIC_228
bic_7:95000001-100000000	BIC_229
bic_7:100000001-105000000	BIC_230
bic_7:105000001-110000000	BIC_231
bic_7:110000001-115000000	BIC_232
bic_7:115000001-120000000	BIC_233
bic_7:120000001-125000000	BIC_234
bic_7:125000001-130000000	BIC_235
bic_7:130000001-135000000	BIC_236
bic_7:135000001-140000000	BIC_237
bic_7:140000001-145000000	BIC_238
bic_7:145000001-150000000	BIC_239
bic_7:150000001-155000000	BIC_240
bic_7:155000001-160000000	BIC_241
bic_7:160000001-165000000	BIC_242
bic_7:165000001-170000000	BIC_243
bic_7:170000001-175000000	BIC_244
bic_7:175000001-180000000	BIC_245
bic_7:180000001-180698089	BIC_246
bic_8:1-5000000	BIC_247
bic_8:5000001-10000000	BIC_248
bic_8:10000001-15000000	BIC_249
bic_8:15000001-20000000	BIC_250
bic_8:20000001-25000000	BIC_251
bic_8:25000001-30000000	BIC_252
bic_8:30000001-35000000	BIC_253
bic_8:35000001-40000000	BIC_254
bic_8:40000001-45000000	BIC_255
bic_8:45000001-50000000	BIC_256
bic_8:50000001-55000000	BIC_257
bic_8:55000001-60000000	BIC_258
bic_8:60000001-65000000	BIC_259
bic_8:65000001-70000000	BIC_260
bic_8:70000001-75000000	BIC_261
bic_8:75000001-80000000	BIC_262
bic_8:80000001-85000000	BIC_263
bic_8:85000001-90000000	BIC_264
bic_8:90000001-95000000	BIC_265
bic_8:95000001-100000000	BIC_266
bic_8:100000001-105000000	BIC_267
bic_8:105000001-110000000	BIC_268
bic_8:110000001-115000000	BIC_269
bic_8:115000001-120000000	BIC_270
bic_8:120000001-125000000	BIC_271
bic_8:125000001-130000000	BIC_272
bic_8:130000001-135000000	BIC_273
bic_8:135000001-140000000	BIC_274
bic_8:140000001-145000000	BIC_275
bic_8:145000001-150000000	BIC_276
bic_8:150000001-155000000	BIC_277
bic_8:155000001-160000000	BIC_278
bic_8:160000001-165000000	BIC_279
bic_8:165000001-170000000	BIC_280
bic_8:170000001-175000000	BIC_281
bic_8:175000001-180000000	BIC_282
bic_8:180000001-185000000	BIC_283
bic_8:185000001-190000000	BIC_284
bic_8:190000001-195000000	BIC_285
bic_8:195000001-200000000	BIC_286
bic_8:200000001-205000000	BIC_287
bic_8:205000001-210000000	BIC_288
bic_8:210000001-215000000	BIC_289
bic_8:215000001-217378658	BIC_290
bic_9:1-5000000	BIC_291
bic_9:5000001-10000000	BIC_292
bic_9:10000001-15000000	BIC_293
bic_9:15000001-20000000	BIC_294
bic_9:20000001-25000000	BIC_295
bic_9:25000001-30000000	BIC_296
bic_9:30000001-35000000	BIC_297
bic_9:35000001-40000000	BIC_298
bic_9:40000001-45000000	BIC_299
bic_9:45000001-50000000	BIC_300
bic_9:50000001-55000000	BIC_301
bic_9:55000001-60000000	BIC_302
bic_9:60000001-65000000	BIC_303
bic_9:65000001-70000000	BIC_304
bic_9:70000001-75000000	BIC_305
bic_9:75000001-80000000	BIC_306
bic_9:80000001-85000000	BIC_307
bic_9:85000001-90000000	BIC_308
bic_9:90000001-95000000	BIC_309
bic_9:95000001-100000000	BIC_310
bic_9:100000001-105000000	BIC_311
bic_9:105000001-110000000	BIC_312
bic_9:110000001-115000000	BIC_313
bic_9:115000001-120000000	BIC_314
bic_9:120000001-125000000	BIC_315
bic_9:125000001-130000000	BIC_316
bic_9:130000001-135000000	BIC_317
bic_9:135000001-140000000	BIC_318
bic_9:140000001-145000000	BIC_319
bic_9:145000001-150000000	BIC_320
bic_9:150000001-155000000	BIC_321
bic_9:155000001-160000000	BIC_322
bic_9:160000001-165000000	BIC_323
bic_9:165000001-170000000	BIC_324
bic_9:170000001-175000000	BIC_325
bic_9:175000001-180000000	BIC_326
bic_9:180000001-185000000	BIC_327
bic_9:185000001-190000000	BIC_328
bic_9:190000001-195000000	BIC_329
bic_9:195000001-200000000	BIC_330
bic_9:200000001-205000000	BIC_331
bic_9:205000001-210000000	BIC_332
bic_9:210000001-215000000	BIC_333
bic_9:215000001-220000000	BIC_334
bic_9:220000001-225000000	BIC_335
bic_9:225000001-230000000	BIC_336
bic_9:230000001-235000000	BIC_337
bic_9:235000001-239516854	BIC_338
bic_10:1-5000000	BIC_339
bic_10:5000001-10000000	BIC_340
bic_10:10000001-15000000	BIC_341
bic_10:15000001-20000000	BIC_342
bic_10:20000001-25000000	BIC_343
bic_10:25000001-30000000	BIC_344
bic_10:30000001-35000000	BIC_345
bic_10:35000001-40000000	BIC_346
bic_10:40000001-45000000	BIC_347
bic_10:45000001-50000000	BIC_348
bic_10:50000001-55000000	BIC_349
bic_10:55000001-60000000	BIC_350
bic_10:60000001-65000000	BIC_351
bic_10:65000001-70000000	BIC_352
bic_10:70000001-75000000	BIC_353
bic_10:75000001-80000000	BIC_354
bic_10:80000001-85000000	BIC_355
bic_10:85000001-90000000	BIC_356
bic_10:90000001-95000000	BIC_357
bic_10:95000001-100000000	BIC_358
bic_10:100000001-105000000	BIC_359
bic_10:105000001-110000000	BIC_360
bic_10:110000001-115000000	BIC_361
bic_10:115000001-120000000	BIC_362
bic_10:120000001-125000000	BIC_363
bic_10:125000001-130000000	BIC_364
bic_10:130000001-135000000	BIC_365
bic_10:135000001-140000000	BIC_366
bic_10:140000001-145000000	BIC_367
bic_10:145000001-150000000	BIC_368
bic_10:150000001-155000000	BIC_369
bic_10:155000001-160000000	BIC_370
bic_10:160000001-165000000	BIC_371
bic_10:165000001-170000000	BIC_372
bic_10:170000001-175000000	BIC_373
bic_10:175000001-180000000	BIC_374
bic_10:180000001-185000000	BIC_375
bic_10:185000001-190000000	BIC_376
bic_10:190000001-192594203	BIC_377
bic_11:1-5000000	BIC_378
bic_11:5000001-10000000	BIC_379
bic_11:10000001-15000000	BIC_380
bic_11:15000001-20000000	BIC_381
bic_11:20000001-25000000	BIC_382
bic_11:25000001-30000000	BIC_383
bic_11:30000001-35000000	BIC_384
bic_11:35000001-40000000	BIC_385
bic_11:40000001-45000000	BIC_386
bic_11:45000001-50000000	BIC_387
bic_11:50000001-55000000	BIC_388
bic_11:55000001-60000000	BIC_389
bic_11:60000001-65000000	BIC_390
bic_11:65000001-70000000	BIC_391
bic_11:70000001-75000000	BIC_392
bic_11:75000001-80000000	BIC_393
bic_11:80000001-85000000	BIC_394
bic_11:85000001-90000000	BIC_395
bic_11:90000001-95000000	BIC_396
bic_11:95000001-100000000	BIC_397
bic_11:100000001-105000000	BIC_398
bic_11:105000001-110000000	BIC_399
bic_11:110000001-115000000	BIC_400
bic_11:115000001-120000000	BIC_401
bic_11:120000001-125000000	BIC_402
bic_11:125000001-130000000	BIC_403
bic_11:130000001-135000000	BIC_404
bic_11:135000001-140000000	BIC_405
bic_11:140000001-145000000	BIC_406
bic_11:145000001-150000000	BIC_407
bic_11:150000001-155000000	BIC_408
bic_11:155000001-160000000	BIC_409
bic_11:160000001-165000000	BIC_410
bic_11:165000001-170000000	BIC_411
bic_11:170000001-175000000	BIC_412
bic_11:175000001-180000000	BIC_413
bic_11:180000001-185000000	BIC_414
bic_11:185000001-190000000	BIC_415
bic_11:190000001-195000000	BIC_416
bic_11:195000001-197864444	BIC_417
bic_12:1-5000000	BIC_418
bic_12:5000001-10000000	BIC_419
bic_12:10000001-15000000	BIC_420
bic_12:15000001-20000000	BIC_421
bic_12:20000001-25000000	BIC_422
bic_12:25000001-30000000	BIC_423
bic_12:30000001-35000000	BIC_424
bic_12:35000001-40000000	BIC_425
bic_12:40000001-45000000	BIC_426
bic_12:45000001-50000000	BIC_427
bic_12:50000001-55000000	BIC_428
bic_12:55000001-60000000	BIC_429
bic_12:60000001-65000000	BIC_430
bic_12:65000001-70000000	BIC_431
bic_12:70000001-75000000	BIC_432
bic_12:75000001-80000000	BIC_433
bic_12:80000001-85000000	BIC_434
bic_12:85000001-90000000	BIC_435
bic_12:90000001-95000000	BIC_436
bic_12:95000001-100000000	BIC_437
bic_12:100000001-105000000	BIC_438
bic_12:105000001-110000000	BIC_439
bic_12:110000001-115000000	BIC_440
bic_12:115000001-120000000	BIC_441
bic_12:120000001-125000000	BIC_442
bic_12:125000001-130000000	BIC_443
bic_12:130000001-135000000	BIC_444
bic_12:135000001-140000000	BIC_445
bic_12:140000001-145000000	BIC_446
bic_12:145000001-150000000	BIC_447
bic_12:150000001-155000000	BIC_448
bic_12:155000001-160000000	BIC_449
bic_12:160000001-165000000	BIC_450
bic_12:165000001-170000000	BIC_451
bic_12:170000001-175000000	BIC_452
bic_12:175000001-180000000	BIC_453
bic_12:180000001-182320490	BIC_454
bic_13:1-5000000	BIC_455
bic_13:5000001-10000000	BIC_456
bic_13:10000001-15000000	BIC_457
bic_13:15000001-20000000	BIC_458
bic_13:20000001-25000000	BIC_459
bic_13:25000001-30000000	BIC_460
bic_13:30000001-35000000	BIC_461
bic_13:35000001-40000000	BIC_462
bic_13:40000001-45000000	BIC_463
bic_13:45000001-50000000	BIC_464
bic_13:50000001-55000000	BIC_465
bic_13:55000001-60000000	BIC_466
bic_13:60000001-65000000	BIC_467
bic_13:65000001-70000000	BIC_468
bic_13:70000001-75000000	BIC_469
bic_13:75000001-80000000	BIC_470
bic_13:80000001-85000000	BIC_471
bic_13:85000001-90000000	BIC_472
bic_13:90000001-95000000	BIC_473
bic_13:95000001-100000000	BIC_474
bic_13:100000001-105000000	BIC_475
bic_13:105000001-110000000	BIC_476
bic_13:110000001-115000000	BIC_477
bic_13:115000001-120000000	BIC_478
bic_13:120000001-125000000	BIC_479
bic_13:125000001-130000000	BIC_480
bic_13:130000001-135000000	BIC_481
bic_13:135000001-140000000	BIC_482
bic_13:140000001-145000000	BIC_483
bic_13:145000001-150000000	BIC_484
bic_13:150000001-155000000	BIC_485
bic_13:155000001-160000000	BIC_486
bic_13:160000001-165000000	BIC_487
bic_13:165000001-170000000	BIC_488
bic_13:170000001-174352204	BIC_489
bic_14:1-5000000	BIC_490
bic_14:5000001-10000000	BIC_491
bic_14:10000001-15000000	BIC_492
bic_14:15000001-20000000	BIC_493
bic_14:20000001-25000000	BIC_494
bic_14:25000001-30000000	BIC_495
bic_14:30000001-35000000	BIC_496
bic_14:35000001-40000000	BIC_497
bic_14:40000001-45000000	BIC_498
bic_14:45000001-50000000	BIC_499
bic_14:50000001-55000000	BIC_500
bic_14:55000001-60000000	BIC_501
bic_14:60000001-65000000	BIC_502
bic_14:65000001-70000000	BIC_503
bic_14:70000001-75000000	BIC_504
bic_14:75000001-80000000	BIC_505
bic_14:80000001-85000000	BIC_506
bic_14:85000001-90000000	BIC_507
bic_14:90000001-95000000	BIC_508
bic_14:95000001-100000000	BIC_509
bic_14:100000001-105000000	BIC_510
bic_14:105000001-110000000	BIC_511
bic_14:110000001-115000000	BIC_512
bic_14:115000001-120000000	BIC_513
bic_14:120000001-125000000	BIC_514
bic_14:125000001-130000000	BIC_515
bic_14:130000001-131819007	BIC_516
bic_X1:1-5000000	BIC_517
bic_X1:5000001-10000000	BIC_518
bic_X1:10000001-15000000	BIC_519
bic_X1:15000001-20000000	BIC_520
bic_X1:20000001-25000000	BIC_521
bic_X1:25000001-30000000	BIC_522
bic_X1:30000001-35000000	BIC_523
bic_X1:35000001-40000000	BIC_524
bic_X1:40000001-45000000	BIC_525
bic_X1:45000001-50000000	BIC_526
bic_X1:50000001-55000000	BIC_527
bic_X1:55000001-60000000	BIC_528
bic_X1:60000001-65000000	BIC_529
bic_X1:65000001-70000000	BIC_530
bic_X1:70000001-75000000	BIC_531
bic_X1:75000001-80000000	BIC_532
bic_X1:80000001-85000000	BIC_533
bic_X1:85000001-90000000	BIC_534
bic_X1:90000001-95000000	BIC_535
bic_X1:95000001-100000000	BIC_536
bic_X1:100000001-105000000	BIC_537
bic_X1:105000001-110000000	BIC_538
bic_X1:110000001-115000000	BIC_539
bic_X1:115000001-120000000	BIC_540
bic_X1:120000001-125000000	BIC_541
bic_X1:125000001-130000000	BIC_542
bic_X1:130000001-135000000	BIC_543
bic_X1:135000001-140000000	BIC_544
bic_X1:140000001-145000000	BIC_545
bic_X1:145000001-150000000	BIC_546
bic_X1:150000001-155000000	BIC_547
bic_X1:155000001-160000000	BIC_548
bic_X1:160000001-165000000	BIC_549
bic_X1:165000001-170000000	BIC_550
bic_X1:170000001-175000000	BIC_551
bic_X1:175000001-180000000	BIC_552
bic_X1:180000001-185000000	BIC_553
bic_X1:185000001-190000000	BIC_554
bic_X1:190000001-195000000	BIC_555
bic_X1:195000001-200000000	BIC_556
bic_X1:200000001-205000000	BIC_557
bic_X1:205000001-210000000	BIC_558
bic_X1:210000001-215000000	BIC_559
bic_X1:215000001-220000000	BIC_560
bic_X1:220000001-225000000	BIC_561
bic_X1:225000001-230000000	BIC_562
bic_X1:230000001-235000000	BIC_563
bic_X1:235000001-235290531	BIC_564
bic_X2:1-5000000	BIC_565
bic_X2:5000001-10000000	BIC_566
bic_X2:10000001-15000000	BIC_567
bic_X2:15000001-20000000	BIC_568
bic_X2:20000001-25000000	BIC_569
bic_X2:25000001-30000000	BIC_570
bic_X2:30000001-35000000	BIC_571
bic_X2:35000001-40000000	BIC_572
bic_X2:40000001-45000000	BIC_573
bic_X2:45000001-50000000	BIC_574
bic_X2:50000001-55000000	BIC_575
bic_X2:55000001-60000000	BIC_576
bic_X2:60000001-65000000	BIC_577
bic_X2:65000001-70000000	BIC_578
bic_X2:70000001-75000000	BIC_579
bic_X2:75000001-80000000	BIC_580
bic_X2:80000001-85000000	BIC_581
bic_X2:85000001-90000000	BIC_582
bic_X2:90000001-95000000	BIC_583
bic_X2:95000001-100000000	BIC_584
bic_X2:100000001-105000000	BIC_585
bic_X2:105000001-110000000	BIC_586
bic_X2:110000001-115000000	BIC_587
bic_X2:115000001-120000000	BIC_588
bic_X2:120000001-125000000	BIC_589
bic_X2:125000001-130000000	BIC_590
bic_X2:130000001-135000000	BIC_591
bic_X2:135000001-140000000	BIC_592
bic_X2:140000001-145000000	BIC_593
bic_X2:145000001-150000000	BIC_594
bic_X2:150000001-155000000	BIC_595
bic_X2:155000001-160000000	BIC_596
bic_X2:160000001-165000000	BIC_597
bic_X2:165000001-170000000	BIC_598
bic_X2:170000001-175000000	BIC_599
bic_X2:175000001-180000000	BIC_600
bic_X2:180000001-185000000	BIC_601
bic_X2:185000001-190000000	BIC_602
bic_X2:190000001-195000000	BIC_603
bic_X2:195000001-197894005	BIC_604
