dum_1:1-5000000	DUM_000
dum_1:5000001-10000000	DUM_001
dum_1:10000001-15000000	DUM_002
dum_1:15000001-20000000	DUM_003
dum_1:20000001-25000000	DUM_004
dum_1:25000001-30000000	DUM_005
dum_1:30000001-35000000	DUM_006
dum_1:35000001-40000000	DUM_007
dum_1:40000001-45000000	DUM_008
dum_1:45000001-50000000	DUM_009
dum_1:50000001-55000000	DUM_010
dum_1:55000001-60000000	DUM_011
dum_1:60000001-65000000	DUM_012
dum_1:65000001-70000000	DUM_013
dum_1:70000001-75000000	DUM_014
dum_1:75000001-80000000	DUM_015
dum_1:80000001-85000000	DUM_016
dum_1:85000001-90000000	DUM_017
dum_1:90000001-95000000	DUM_018
dum_1:95000001-100000000	DUM_019
dum_1:100000001-105000000	DUM_020
dum_1:105000001-110000000	DUM_021
dum_1:110000001-115000000	DUM_022
dum_1:115000001-120000000	DUM_023
dum_1:120000001-125000000	DUM_024
dum_1:125000001-130000000	DUM_025
dum_1:130000001-135000000	DUM_026
dum_1:135000001-140000000	DUM_027
dum_1:140000001-145000000	DUM_028
dum_1:145000001-150000000	DUM_029
dum_1:150000001-155000000	DUM_030
dum_1:155000001-160000000	DUM_031
dum_1:160000001-165000000	DUM_032
dum_1:165000001-170000000	DUM_033
dum_1:170000001-175000000	DUM_034
dum_1:175000001-180000000	DUM_035
dum_1:180000001-185000000	DUM_036
dum_1:185000001-190000000	DUM_037
dum_1:190000001-195000000	DUM_038
dum_1:195000001-200000000	DUM_039
dum_1:200000001-205000000	DUM_040
dum_1:205000001-210000000	DUM_041
dum_1:210000001-215000000	DUM_042
dum_1:215000001-220000000	DUM_043
dum_1:220000001-225000000	DUM_044
dum_1:225000001-230000000	DUM_045
dum_1:230000001-235000000	DUM_046
dum_1:235000001-240000000	DUM_047
dum_1:240000001-245000000	DUM_048
dum_1:245000001-250000000	DUM_049
dum_1:250000001-255000000	DUM_050
dum_1:255000001-260000000	DUM_051
dum_1:260000001-265000000	DUM_052
dum_1:265000001-270000000	DUM_053
dum_1:270000001-275000000	DUM_054
dum_1:275000001-280000000	DUM_055
dum_1:280000001-285000000	DUM_056
dum_1:285000001-290000000	DUM_057
dum_1:290000001-295000000	DUM_058
dum_1:295000001-296594669	DUM_059
dum_2:1-5000000	DUM_060
dum_2:5000001-10000000	DUM_061
dum_2:10000001-15000000	DUM_062
dum_2:15000001-20000000	DUM_063
dum_2:20000001-25000000	DUM_064
dum_2:25000001-30000000	DUM_065
dum_2:30000001-35000000	DUM_066
dum_2:35000001-40000000	DUM_067
dum_2:40000001-45000000	DUM_068
dum_2:45000001-50000000	DUM_069
dum_2:50000001-55000000	DUM_070
dum_2:55000001-60000000	DUM_071
dum_2:60000001-65000000	DUM_072
dum_2:65000001-70000000	DUM_073
dum_2:70000001-75000000	DUM_074
dum_2:75000001-80000000	DUM_075
dum_2:80000001-85000000	DUM_076
dum_2:85000001-90000000	DUM_077
dum_2:90000001-95000000	DUM_078
dum_2:95000001-100000000	DUM_079
dum_2:100000001-105000000	DUM_080
dum_2:105000001-110000000	DUM_081
dum_2:110000001-115000000	DUM_082
dum_2:115000001-120000000	DUM_083
dum_2:120000001-125000000	DUM_084
dum_2:125000001-130000000	DUM_085
dum_2:130000001-135000000	DUM_086
dum_2:135000001-140000000	DUM_087
dum_2:140000001-145000000	DUM_088
dum_2:145000001-150000000	DUM_089
dum_2:150000001-155000000	DUM_090
dum_2:155000001-160000000	DUM_091
dum_2:160000001-165000000	DUM_092
dum_2:165000001-170000000	DUM_093
dum_2:170000001-175000000	DUM_094
dum_2:175000001-180000000	DUM_095
dum_2:180000001-185000000	DUM_096
dum_2:185000001-190000000	DUM_097
dum_2:190000001-195000000	DUM_098
dum_2:195000001-200000000	DUM_099
dum_2:200000001-205000000	DUM_100
dum_2:205000001-210000000	DUM_101
dum_2:210000001-215000000	DUM_102
dum_2:215000001-220000000	DUM_103
dum_2:220000001-225000000	DUM_104
dum_2:225000001-230000000	DUM_105
dum_2:230000001-235000000	DUM_106
dum_2:235000001-240000000	DUM_107
dum_2:240000001-245000000	DUM_108
dum_2:245000001-250000000	DUM_109
dum_2:250000001-255000000	DUM_110
dum_2:255000001-260000000	DUM_111
dum_2:260000001-265000000	DUM_112
dum_2:265000001-270000000	DUM_113
dum_2:270000001-275000000	DUM_114
dum_2:275000001-280000000	DUM_115
dum_2:280000001-285000000	DUM_116
dum_2:285000001-290000000	DUM_117
dum_2:290000001-290600568	DUM_118
dum_3:1-5000000	DUM_119
dum_3:5000001-10000000	DUM_120
dum_3:10000001-15000000	DUM_121
dum_3:15000001-20000000	DUM_122
dum_3:20000001-25000000	DUM_123
dum_3:25000001-30000000	DUM_124
dum_3:30000001-35000000	DUM_125
dum_3:35000001-40000000	DUM_126
dum_3:40000001-45000000	DUM_127
dum_3:45000001-50000000	DUM_128
dum_3:50000001-55000000	DUM_129
dum_3:55000001-60000000	DUM_130
dum_3:60000001-65000000	DUM_131
dum_3:65000001-70000000	DUM_132
dum_3:70000001-75000000	DUM_133
dum_3:75000001-80000000	DUM_134
dum_3:80000001-85000000	DUM_135
dum_3:85000001-90000000	DUM_136
dum_3:90000001-95000000	DUM_137
dum_3:95000001-100000000	DUM_138
dum_3:100000001-105000000	DUM_139
dum_3:105000001-110000000	DUM_140
dum_3:110000001-115000000	DUM_141
dum_3:115000001-120000000	DUM_142
dum_3:120000001-125000000	DUM_143
dum_3:125000001-130000000	DUM_144
dum_3:130000001-135000000	DUM_145
dum_3:135000001-140000000	DUM_146
dum_3:140000001-145000000	DUM_147
dum_3:145000001-150000000	DUM_148
dum_3:150000001-155000000	DUM_149
dum_3:155000001-160000000	DUM_150
dum_3:160000001-165000000	DUM_151
dum_3:165000001-170000000	DUM_152
dum_3:170000001-175000000	DUM_153
dum_3:175000001-180000000	DUM_154
dum_3:180000001-185000000	DUM_155
dum_3:185000001-190000000	DUM_156
dum_3:190000001-195000000	DUM_157
dum_3:195000001-200000000	DUM_158
dum_3:200000001-205000000	DUM_159
dum_3:205000001-210000000	DUM_160
dum_3:210000001-215000000	DUM_161
dum_3:215000001-220000000	DUM_162
dum_3:220000001-225000000	DUM_163
dum_3:225000001-230000000	DUM_164
dum_3:230000001-235000000	DUM_165
dum_3:235000001-240000000	DUM_166
dum_3:240000001-245000000	DUM_167
dum_3:245000001-250000000	DUM_168
dum_3:250000001-255000000	DUM_169
dum_3:255000001-260000000	DUM_170
dum_3:260000001-265000000	DUM_171
dum_3:265000001-270000000	DUM_172
dum_3:270000001-275000000	DUM_173
dum_3:275000001-279185640	DUM_174
dum_4:1-5000000	DUM_175
dum_4:5000001-10000000	DUM_176
dum_4:10000001-15000000	DUM_177
dum_4:15000001-20000000	DUM_178
dum_4:20000001-25000000	DUM_179
dum_4:25000001-30000000	DUM_180
dum_4:30000001-35000000	DUM_181
dum_4:35000001-40000000	DUM_182
dum_4:40000001-45000000	DUM_183
dum_4:45000001-50000000	DUM_184
dum_4:50000001-55000000	DUM_185
dum_4:55000001-60000000	DUM_186
dum_4:60000001-65000000	DUM_187
dum_4:65000001-70000000	DUM_188
dum_4:70000001-75000000	DUM_189
dum_4:75000001-80000000	DUM_190
dum_4:80000001-85000000	DUM_191
dum_4:85000001-90000000	DUM_192
dum_4:90000001-95000000	DUM_193
dum_4:95000001-100000000	DUM_194
dum_4:100000001-105000000	DUM_195
dum_4:105000001-110000000	DUM_196
dum_4:110000001-115000000	DUM_197
dum_4:115000001-120000000	DUM_198
dum_4:120000001-125000000	DUM_199
dum_4:125000001-130000000	DUM_200
dum_4:130000001-135000000	DUM_201
dum_4:135000001-140000000	DUM_202
dum_4:140000001-145000000	DUM_203
dum_4:145000001-150000000	DUM_204
dum_4:150000001-155000000	DUM_205
dum_4:155000001-160000000	DUM_206
dum_4:160000001-165000000	DUM_207
dum_4:165000001-170000000	DUM_208
dum_4:170000001-175000000	DUM_209
dum_4:175000001-180000000	DUM_210
dum_4:180000001-185000000	DUM_211
dum_4:185000001-190000000	DUM_212
dum_4:190000001-195000000	DUM_213
dum_4:195000001-200000000	DUM_214
dum_4:200000001-205000000	DUM_215
dum_4:205000001-210000000	DUM_216
dum_4:210000001-215000000	DUM_217
dum_4:215000001-220000000	DUM_218
dum_4:220000001-225000000	DUM_219
dum_4:225000001-230000000	DUM_220
dum_4:230000001-235000000	DUM_221
dum_4:235000001-240000000	DUM_222
dum_4:240000001-245000000	DUM_223
dum_4:245000001-250000000	DUM_224
dum_4:250000001-255000000	DUM_225
dum_4:255000001-260000000	DUM_226
dum_4:260000001-263078285	DUM_227
