lin_1:1-5000000	LIN_000
lin_1:5000001-10000000	LIN_001
lin_1:10000001-15000000	LIN_002
lin_1:15000001-20000000	LIN_003
lin_1:20000001-25000000	LIN_004
lin_1:25000001-30000000	LIN_005
lin_1:30000001-35000000	LIN_006
lin_1:35000001-40000000	LIN_007
lin_1:40000001-45000000	LIN_008
lin_1:45000001-50000000	LIN_009
lin_1:50000001-55000000	LIN_010
lin_1:55000001-60000000	LIN_011
lin_1:60000001-65000000	LIN_012
lin_1:65000001-70000000	LIN_013
lin_1:70000001-75000000	LIN_014
lin_1:75000001-80000000	LIN_015
lin_1:80000001-85000000	LIN_016
lin_1:85000001-90000000	LIN_017
lin_1:90000001-95000000	LIN_018
lin_1:95000001-100000000	LIN_019
lin_1:100000001-105000000	LIN_020
lin_1:105000001-110000000	LIN_021
lin_1:110000001-115000000	LIN_022
lin_1:115000001-120000000	LIN_023
lin_1:120000001-125000000	LIN_024
lin_1:125000001-128779683	LIN_025
lin_2:1-5000000	LIN_026
lin_2:5000001-10000000	LIN_027
lin_2:10000001-15000000	LIN_028
lin_2:15000001-20000000	LIN_029
lin_2:20000001-25000000	LIN_030
lin_2:25000001-30000000	LIN_031
lin_2:30000001-35000000	LIN_032
lin_2:35000001-40000000	LIN_033
lin_2:40000001-45000000	LIN_034
lin_2:45000001-50000000	LIN_035
lin_2:50000001-55000000	LIN_036
lin_2:55000001-60000000	LIN_037
lin_2:60000001-65000000	LIN_038
lin_2:65000001-70000000	LIN_039
lin_2:70000001-75000000	LIN_040
lin_2:75000001-80000000	LIN_041
lin_2:80000001-85000000	LIN_042
lin_2:85000001-90000000	LIN_043
lin_2:90000001-95000000	LIN_044
lin_2:95000001-100000000	LIN_045
lin_2:100000001-105000000	LIN_046
lin_2:105000001-109165901	LIN_047
lin_3:1-5000000	LIN_048
lin_3:5000001-10000000	LIN_049
lin_3:10000001-15000000	LIN_050
lin_3:15000001-20000000	LIN_051
lin_3:20000001-25000000	LIN_052
lin_3:25000001-30000000	LIN_053
lin_3:30000001-35000000	LIN_054
lin_3:35000001-40000000	LIN_055
lin_3:40000001-45000000	LIN_056
lin_3:45000001-50000000	LIN_057
lin_3:50000001-55000000	LIN_058
lin_3:55000001-60000000	LIN_059
lin_3:60000001-65000000	LIN_060
lin_3:65000001-70000000	LIN_061
lin_3:70000001-75000000	LIN_062
lin_3:75000001-80000000	LIN_063
lin_3:80000001-85000000	LIN_064
lin_3:85000001-90000000	LIN_065
lin_3:90000001-95000000	LIN_066
lin_3:95000001-100000000	LIN_067
lin_3:100000001-105000000	LIN_068
lin_3:105000001-110000000	LIN_069
lin_3:110000001-115000000	LIN_070
lin_3:115000001-118053077	LIN_071
lin_4:1-5000000	LIN_072
lin_4:5000001-10000000	LIN_073
lin_4:10000001-15000000	LIN_074
lin_4:15000001-20000000	LIN_075
lin_4:20000001-25000000	LIN_076
lin_4:25000001-30000000	LIN_077
lin_4:30000001-35000000	LIN_078
lin_4:35000001-40000000	LIN_079
lin_4:40000001-45000000	LIN_080
lin_4:45000001-50000000	LIN_081
lin_4:50000001-55000000	LIN_082
lin_4:55000001-60000000	LIN_083
lin_4:60000001-65000000	LIN_084
lin_4:65000001-70000000	LIN_085
lin_4:70000001-75000000	LIN_086
lin_4:75000001-80000000	LIN_087
lin_4:80000001-85000000	LIN_088
lin_4:85000001-90000000	LIN_089
lin_4:90000001-95000000	LIN_090
lin_4:95000001-100000000	LIN_091
lin_4:100000001-105000000	LIN_092
lin_4:105000001-110000000	LIN_093
lin_4:110000001-113696048	LIN_094
lin_5:1-5000000	LIN_095
lin_5:5000001-10000000	LIN_096
lin_5:10000001-15000000	LIN_097
lin_5:15000001-20000000	LIN_098
lin_5:20000001-25000000	LIN_099
lin_5:25000001-30000000	LIN_100
lin_5:30000001-35000000	LIN_101
lin_5:35000001-40000000	LIN_102
lin_5:40000001-45000000	LIN_103
lin_5:45000001-50000000	LIN_104
lin_5:50000001-55000000	LIN_105
lin_5:55000001-60000000	LIN_106
lin_5:60000001-65000000	LIN_107
lin_5:65000001-70000000	LIN_108
lin_5:70000001-75000000	LIN_109
lin_5:75000001-80000000	LIN_110
lin_5:80000001-85000000	LIN_111
lin_5:85000001-90000000	LIN_112
lin_5:90000001-95000000	LIN_113
lin_5:95000001-100000000	LIN_114
lin_5:100000001-105000000	LIN_115
lin_5:105000001-110000000	LIN_116
lin_5:110000001-115000000	LIN_117
lin_5:115000001-120000000	LIN_118
lin_5:120000001-125000000	LIN_119
lin_5:125000001-130000000	LIN_120
lin_5:130000001-134173304	LIN_121
lin_6:1-5000000	LIN_122
lin_6:5000001-10000000	LIN_123
lin_6:10000001-15000000	LIN_124
lin_6:15000001-20000000	LIN_125
lin_6:20000001-25000000	LIN_126
lin_6:25000001-30000000	LIN_127
lin_6:30000001-35000000	LIN_128
lin_6:35000001-40000000	LIN_129
lin_6:40000001-45000000	LIN_130
lin_6:45000001-50000000	LIN_131
lin_6:50000001-55000000	LIN_132
lin_6:55000001-60000000	LIN_133
lin_6:60000001-65000000	LIN_134
lin_6:65000001-70000000	LIN_135
lin_6:70000001-75000000	LIN_136
lin_6:75000001-80000000	LIN_137
lin_6:80000001-85000000	LIN_138
lin_6:85000001-90000000	LIN_139
lin_6:90000001-95000000	LIN_140
lin_6:95000001-100000000	LIN_141
lin_6:100000001-105000000	LIN_142
lin_6:105000001-108478653	LIN_143
lin_7:1-5000000	LIN_144
lin_7:5000001-10000000	LIN_145
lin_7:10000001-15000000	LIN_146
lin_7:15000001-20000000	LIN_147
lin_7:20000001-25000000	LIN_148
lin_7:25000001-30000000	LIN_149
