species	family	n_father	n_mother	n_parents	n_offspring	n_sequenced	expected_parents	expected_offspring	expected_total	missing_father	missing_mother	missing_offspring	n_missing	n_surplus	complete
S_africanus	family1	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_africanus	family2	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_africanus	family3	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_africanus	family4	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_bicolor	family1	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_bicolor	family2	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_bicolor	family3	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_bicolor	family4	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_bicolor	family5	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_dumicola	family1	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_dumicola	family2	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_dumicola	family3	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_dumicola	family4	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_dumicola	family5	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_lineatus	family1	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_lineatus	family2	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_lineatus	family3	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_lineatus	family4	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_lineatus	family5	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_mimosarum	family1	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_mimosarum	family2	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_mimosarum	family3	1	1	2	8	10	2	6	8	0	0	0	0	2	yes
S_mimosarum	family4	1	1	2	4	6	2	6	8	0	0	2	2	0	no
S_mimosarum	family5	1	0	1	8	9	2	6	8	0	1	0	1	2	no
S_sarasinorum	family1	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_sarasinorum	family2	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_sarasinorum	family3	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_sarasinorum	family4	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_sarasinorum	family5	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_tentoriicola	family1	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_tentoriicola	family2	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_tentoriicola	family3	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_tentoriicola	family4	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
S_tentoriicola	family5	1	1	2	6	8	2	6	8	0	0	0	0	0	yes
