afr_1:1-5000000	AFR_000
afr_1:5000001-10000000	AFR_001
afr_1:10000001-15000000	AFR_002
afr_1:15000001-20000000	AFR_003
afr_1:20000001-25000000	AFR_004
afr_1:25000001-30000000	AFR_005
afr_1:30000001-35000000	AFR_006
afr_1:35000001-40000000	AFR_007
afr_1:40000001-45000000	AFR_008
afr_1:45000001-50000000	AFR_009
afr_1:50000001-55000000	AFR_010
afr_1:55000001-60000000	AFR_011
afr_1:60000001-65000000	AFR_012
afr_1:65000001-70000000	AFR_013
afr_1:70000001-75000000	AFR_014
afr_1:75000001-80000000	AFR_015
afr_1:80000001-85000000	AFR_016
afr_1:85000001-90000000	AFR_017
afr_1:90000001-95000000	AFR_018
afr_1:95000001-100000000	AFR_019
afr_1:100000001-105000000	AFR_020
afr_1:105000001-110000000	AFR_021
afr_1:110000001-115000000	AFR_022
afr_1:115000001-120000000	AFR_023
afr_1:120000001-125000000	AFR_024
afr_1:125000001-130000000	AFR_025
afr_1:130000001-135000000	AFR_026
afr_1:135000001-140000000	AFR_027
afr_1:140000001-145000000	AFR_028
afr_1:145000001-150000000	AFR_029
afr_1:150000001-155000000	AFR_030
afr_1:155000001-160000000	AFR_031
afr_1:160000001-165000000	AFR_032
afr_1:165000001-170000000	AFR_033
afr_1:170000001-175000000	AFR_034
afr_1:175000001-180000000	AFR_035
afr_1:180000001-185000000	AFR_036
afr_1:185000001-190000000	AFR_037
afr_1:190000001-195000000	AFR_038
afr_1:195000001-200000000	AFR_039
afr_1:200000001-205000000	AFR_040
afr_1:205000001-210000000	AFR_041
afr_1:210000001-215000000	AFR_042
afr_1:215000001-220000000	AFR_043
afr_1:220000001-225000000	AFR_044
afr_1:225000001-230000000	AFR_045
afr_1:230000001-235000000	AFR_046
afr_1:235000001-240000000	AFR_047
afr_1:240000001-245000000	AFR_048
afr_1:245000001-250000000	AFR_049
afr_1:250000001-255000000	AFR_050
afr_1:255000001-260000000	AFR_051
afr_1:260000001-265000000	AFR_052
afr_1:265000001-270000000	AFR_053
afr_1:270000001-274736828	AFR_054
afr_2:1-5000000	AFR_055
afr_2:5000001-10000000	AFR_056
afr_2:10000001-15000000	AFR_057
afr_2:15000001-20000000	AFR_058
afr_2:20000001-25000000	AFR_059
afr_2:25000001-30000000	AFR_060
afr_2:30000001-35000000	AFR_061
afr_2:35000001-40000000	AFR_062
afr_2:40000001-45000000	AFR_063
afr_2:45000001-50000000	AFR_064
afr_2:50000001-55000000	AFR_065
afr_2:55000001-60000000	AFR_066
afr_2:60000001-65000000	AFR_067
afr_2:65000001-70000000	AFR_068
afr_2:70000001-75000000	AFR_069
afr_2:75000001-80000000	AFR_070
afr_2:80000001-85000000	AFR_071
afr_2:85000001-90000000	AFR_072
afr_2:90000001-95000000	AFR_073
afr_2:95000001-100000000	AFR_074
afr_2:100000001-105000000	AFR_075
afr_2:105000001-110000000	AFR_076
afr_2:110000001-115000000	AFR_077
afr_2:115000001-120000000	AFR_078
afr_2:120000001-125000000	AFR_079
afr_2:125000001-130000000	AFR_080
afr_2:130000001-135000000	AFR_081
afr_2:135000001-140000000	AFR_082
afr_2:140000001-145000000	AFR_083
afr_2:145000001-150000000	AFR_084
afr_2:150000001-155000000	AFR_085
afr_2:155000001-160000000	AFR_086
afr_2:160000001-165000000	AFR_087
afr_2:165000001-170000000	AFR_088
