ten_1:1-5000000	TEN_000
ten_1:5000001-10000000	TEN_001
ten_1:10000001-15000000	TEN_002
ten_1:15000001-20000000	TEN_003
ten_1:20000001-25000000	TEN_004
ten_1:25000001-30000000	TEN_005
ten_1:30000001-35000000	TEN_006
ten_1:35000001-40000000	TEN_007
ten_1:40000001-45000000	TEN_008
ten_1:45000001-50000000	TEN_009
ten_1:50000001-55000000	TEN_010
ten_1:55000001-60000000	TEN_011
ten_1:60000001-65000000	TEN_012
ten_1:65000001-70000000	TEN_013
ten_1:70000001-75000000	TEN_014
ten_1:75000001-80000000	TEN_015
ten_1:80000001-85000000	TEN_016
ten_1:85000001-90000000	TEN_017
ten_1:90000001-95000000	TEN_018
ten_1:95000001-100000000	TEN_019
ten_1:100000001-105000000	TEN_020
ten_1:105000001-110000000	TEN_021
ten_1:110000001-115000000	TEN_022
ten_1:115000001-120000000	TEN_023
ten_1:120000001-125000000	TEN_024
ten_1:125000001-130000000	TEN_025
ten_1:130000001-135000000	TEN_026
ten_1:135000001-140000000	TEN_027
ten_1:140000001-145000000	TEN_028
ten_1:145000001-150000000	TEN_029
ten_1:150000001-155000000	TEN_030
ten_1:155000001-160000000	TEN_031
ten_1:160000001-165000000	TEN_032
ten_1:165000001-170000000	TEN_033
ten_1:170000001-175000000	TEN_034
ten_1:175000001-180000000	TEN_035
ten_1:180000001-185000000	TEN_036
ten_1:185000001-190000000	TEN_037
ten_1:190000001-195000000	TEN_038
ten_1:195000001-200000000	TEN_039
ten_1:200000001-205000000	TEN_040
ten_1:205000001-210000000	TEN_041
ten_1:210000001-215000000	TEN_042
ten_1:215000001-220000000	TEN_043
ten_1:220000001-225000000	TEN_044
ten_1:225000001-230000000	TEN_045
ten_1:230000001-235000000	TEN_046
ten_1:235000001-240000000	TEN_047
ten_1:240000001-245000000	TEN_048
ten_1:245000001-250000000	TEN_049
ten_1:250000001-255000000	TEN_050
ten_1:255000001-260000000	TEN_051
ten_1:260000001-265000000	TEN_052
ten_1:265000001-270000000	TEN_053
ten_1:270000001-275000000	TEN_054
ten_1:275000001-280000000	TEN_055
ten_1:280000001-285000000	TEN_056
ten_1:285000001-290000000	TEN_057
ten_1:290000001-292151117	TEN_058
ten_2:1-5000000	TEN_059
ten_2:5000001-10000000	TEN_060
ten_2:10000001-15000000	TEN_061
ten_2:15000001-20000000	TEN_062
ten_2:20000001-25000000	TEN_063
ten_2:25000001-30000000	TEN_064
ten_2:30000001-35000000	TEN_065
ten_2:35000001-40000000	TEN_066
ten_2:40000001-45000000	TEN_067
ten_2:45000001-50000000	TEN_068
ten_2:50000001-55000000	TEN_069
