sample_id	N_sites	mean_depth	chromosome
AFR_family1_F_female	274736796	26.857	afr_1
AFR_family1_M_male	274736527	29.0031	afr_1
AFR_family1_S1_offspring	274736790	29.0686	afr_1
AFR_family1_S2_offspring	274736732	29.2927	afr_1
AFR_family1_S3_offspring	274736600	26.2994	afr_1
AFR_family1_S4_offspring	274736695	26.575	afr_1
AFR_family1_S5_offspring	274736453	27.7779	afr_1
AFR_family1_S6_offspring	274736784	28.2602	afr_1
AFR_family2_F_female	274736483	26.8982	afr_1
AFR_family2_M_male	274736363	29.3246	afr_1
AFR_family2_S1_offspring	274736520	28.7207	afr_1
AFR_family2_S2_offspring	274736494	26.6827	afr_1
AFR_family2_S3_offspring	274736467	26.5033	afr_1
AFR_family2_S4_offspring	274736421	26.3136	afr_1
AFR_family2_S5_offspring	274736454	26.4985	afr_1
AFR_family2_S6_offspring	274736475	26.1876	afr_1
AFR_family3_F_female	274736367	26.7972	afr_1
AFR_family3_M_male	274736513	29.3049	afr_1
AFR_family3_S1_offspring	274736305	26.9526	afr_1
AFR_family3_S2_offspring	274736463	27.9317	afr_1
AFR_family3_S3_offspring	274736394	22.1659	afr_1
AFR_family3_S4_offspring	274736270	26.791	afr_1
AFR_family3_S5_offspring	274736395	28.9839	afr_1
AFR_family3_S6_offspring	274736292	27.1338	afr_1
AFR_family4_F_female	274736465	27.0291	afr_1
AFR_family4_M_male	274736533	29.8761	afr_1
AFR_family4_S1_offspring	274736463	29.166	afr_1
AFR_family4_S2_offspring	274736355	25.3503	afr_1
AFR_family4_S3_offspring	274736340	22.281	afr_1
AFR_family4_S4_offspring	274736375	28.6002	afr_1
AFR_family4_S5_offspring	274736386	28.8892	afr_1
AFR_family4_S6_offspring	274736312	26.7006	afr_1
AFR_family1_F_female	244869590	26.6724	afr_2
AFR_family1_M_male	244869501	28.9735	afr_2
AFR_family1_S1_offspring	244869624	28.5688	afr_2
AFR_family1_S2_offspring	244869643	29.118	afr_2
AFR_family1_S3_offspring	244869620	26.1979	afr_2
AFR_family1_S4_offspring	244869591	26.4235	afr_2
AFR_family1_S5_offspring	244869621	28.0103	afr_2
AFR_family1_S6_offspring	244869633	27.6626	afr_2
AFR_family2_F_female	244869516	27.035	afr_2
AFR_family2_M_male	244869490	29.5288	afr_2
AFR_family2_S1_offspring	244869516	28.8054	afr_2
AFR_family2_S2_offspring	244869495	26.7981	afr_2
AFR_family2_S3_offspring	244869473	26.6757	afr_2
AFR_family2_S4_offspring	244869555	26.4038	afr_2
AFR_family2_S5_offspring	244869529	26.6072	afr_2
AFR_family2_S6_offspring	244869516	26.176	afr_2
AFR_family3_F_female	244869556	26.9879	afr_2
AFR_family3_M_male	244869540	28.9375	afr_2
AFR_family3_S1_offspring	244869468	26.5273	afr_2
AFR_family3_S2_offspring	244869484	27.4845	afr_2
AFR_family3_S3_offspring	244869384	22.1401	afr_2
AFR_family3_S4_offspring	244869487	26.7837	afr_2
AFR_family3_S5_offspring	244869478	28.5012	afr_2
AFR_family3_S6_offspring	244869406	26.7502	afr_2
AFR_family4_F_female	244869486	26.8137	afr_2
AFR_family4_M_male	244869539	29.5964	afr_2
AFR_family4_S1_offspring	244869554	28.736	afr_2
AFR_family4_S2_offspring	244869388	24.9927	afr_2
AFR_family4_S3_offspring	244869499	21.9086	afr_2
AFR_family4_S4_offspring	244869493	28.0923	afr_2
AFR_family4_S5_offspring	244869441	28.4776	afr_2
AFR_family4_S6_offspring	244869417	26.3925	afr_2
AFR_family1_F_female	241382779	26.7871	afr_3
AFR_family1_M_male	241382591	29.0348	afr_3
AFR_family1_S1_offspring	241382662	28.7294	afr_3
AFR_family1_S2_offspring	241382647	29.1355	afr_3
AFR_family1_S3_offspring	241382569	26.1466	afr_3
AFR_family1_S4_offspring	241382766	26.817	afr_3
AFR_family1_S5_offspring	241382602	28.0666	afr_3
AFR_family1_S6_offspring	241382705	28.0631	afr_3
AFR_family2_F_female	241382653	27.2794	afr_3
AFR_family2_M_male	241382545	29.4662	afr_3
AFR_family2_S1_offspring	241382604	28.9649	afr_3
AFR_family2_S2_offspring	241382629	27.0081	afr_3
AFR_family2_S3_offspring	241382572	26.7008	afr_3
AFR_family2_S4_offspring	241382516	26.4212	afr_3
AFR_family2_S5_offspring	241382474	26.6176	afr_3
AFR_family2_S6_offspring	241382556	26.3852	afr_3
AFR_family3_F_female	241382516	27.035	afr_3
AFR_family3_M_male	241382569	29.1369	afr_3
AFR_family3_S1_offspring	241382496	26.8372	afr_3
AFR_family3_S2_offspring	241382502	27.7968	afr_3
AFR_family3_S3_offspring	241382478	22.284	afr_3
AFR_family3_S4_offspring	241382477	26.9058	afr_3
AFR_family3_S5_offspring	241382531	28.7833	afr_3
AFR_family3_S6_offspring	241382498	26.9947	afr_3
AFR_family4_F_female	241382561	26.8947	afr_3
AFR_family4_M_male	241382602	29.7252	afr_3
AFR_family4_S1_offspring	241382496	28.9571	afr_3
AFR_family4_S2_offspring	241382491	25.1931	afr_3
AFR_family4_S3_offspring	241382432	22.1979	afr_3
AFR_family4_S4_offspring	241382454	28.3227	afr_3
AFR_family4_S5_offspring	241382481	28.6595	afr_3
AFR_family4_S6_offspring	241382534	26.6019	afr_3
AFR_family1_F_female	215578813	25.1546	afr_4
AFR_family1_M_male	215578623	27.2952	afr_4
AFR_family1_S1_offspring	215578807	27.1545	afr_4
AFR_family1_S2_offspring	215578792	27.4433	afr_4
AFR_family1_S3_offspring	215578703	24.5135	afr_4
AFR_family1_S4_offspring	215578730	24.921	afr_4
AFR_family1_S5_offspring	215578780	26.4976	afr_4
AFR_family1_S6_offspring	215578821	26.3448	afr_4
AFR_family2_F_female	215578712	25.4908	afr_4
AFR_family2_M_male	215578700	27.5066	afr_4
AFR_family2_S1_offspring	215578731	27.1655	afr_4
AFR_family2_S2_offspring	215578688	25.1482	afr_4
AFR_family2_S3_offspring	215578659	24.9559	afr_4
AFR_family2_S4_offspring	215578774	24.9311	afr_4
AFR_family2_S5_offspring	215578661	25.0164	afr_4
