sample_id	N_sites	mean_depth	chromosome
MIM_family1_F_female	146966781	22.4723	mim_1
MIM_family1_M_male	146966769	42.7349	mim_1
MIM_family1_S1_offspring	146966779	47.4968	mim_1
MIM_family1_S2_offspring	146966777	38.9956	mim_1
MIM_family1_S3_offspring	146966778	37.5288	mim_1
MIM_family1_S4_offspring	146966779	25.6452	mim_1
MIM_family1_S5_offspring	146966780	26.3712	mim_1
MIM_family1_S6_offspring	146966781	35.2351	mim_1
MIM_family2_F_female	146966779	48.8953	mim_1
MIM_family2_M_male	146966774	32.7345	mim_1
MIM_family2_S1_offspring	146966778	43.2179	mim_1
MIM_family2_S2_offspring	146966781	35.657	mim_1
MIM_family2_S3_offspring	146966781	53.3581	mim_1
MIM_family2_S4_offspring	146966781	63.6514	mim_1
MIM_family2_S5_offspring	146966781	57.4072	mim_1
MIM_family2_S6_offspring	146966781	25.9694	mim_1
MIM_family3_F_female	146966779	28.7225	mim_1
MIM_family3_M_male	146966771	33.069	mim_1
MIM_family3_S1_offspring	146966779	33.3756	mim_1
MIM_family3_S2_offspring	146966774	25.5719	mim_1
MIM_family3_S3_offspring	146966778	45.1497	mim_1
MIM_family3_S4_offspring	146966780	40.9675	mim_1
MIM_family3_S5_offspring	146966779	42.0054	mim_1
MIM_family3_S6_offspring	146966781	48.3025	mim_1
MIM_family4_F_female	146966775	39.0109	mim_1
MIM_family4_M_male	146966771	33.069	mim_1
MIM_family4_S1_offspring	146966779	36.4528	mim_1
MIM_family4_S2_offspring	146966780	31.9565	mim_1
MIM_family4_S3_offspring	146966781	30.9229	mim_1
MIM_family4_S4_offspring	146966781	28.6941	mim_1
MIM_family1_F_female	128078809	22.7329	mim_2
MIM_family1_M_male	128078808	43.2517	mim_2
MIM_family1_S1_offspring	128078814	47.9297	mim_2
MIM_family1_S2_offspring	128078809	39.2753	mim_2
MIM_family1_S3_offspring	128078814	37.8277	mim_2
MIM_family1_S4_offspring	128078811	25.8623	mim_2
MIM_family1_S5_offspring	128078811	26.5474	mim_2
MIM_family1_S6_offspring	128078810	35.5328	mim_2
MIM_family2_F_female	128078809	49.3182	mim_2
MIM_family2_M_male	128078812	33.1088	mim_2
MIM_family2_S1_offspring	128078811	43.5061	mim_2
MIM_family2_S2_offspring	128078811	35.8438	mim_2
MIM_family2_S3_offspring	128078814	53.5969	mim_2
MIM_family2_S4_offspring	128078814	64.0883	mim_2
MIM_family2_S5_offspring	128078814	57.697	mim_2
MIM_family2_S6_offspring	128078814	26.059	mim_2
MIM_family3_F_female	128078814	29.0682	mim_2
MIM_family3_M_male	128078804	33.3725	mim_2
MIM_family3_S1_offspring	128078814	33.5098	mim_2
MIM_family3_S2_offspring	128078811	25.7407	mim_2
MIM_family3_S3_offspring	128078811	45.3506	mim_2
MIM_family3_S4_offspring	128078812	41.1597	mim_2
MIM_family3_S5_offspring	128078814	42.2814	mim_2
MIM_family3_S6_offspring	128078807	48.6002	mim_2
MIM_family4_F_female	128078808	39.2736	mim_2
MIM_family4_M_male	128078804	33.3725	mim_2
MIM_family4_S1_offspring	128078809	36.796	mim_2
MIM_family4_S2_offspring	128078813	32.2369	mim_2
MIM_family4_S3_offspring	128078812	31.143	mim_2
