sample_id	N_sites	mean_depth	chromosome
SAR_family1_F_female	176673234	18.6962	sar_1
SAR_family1_M_male	176673234	24.0117	sar_1
SAR_family1_S1_offspring	176673234	17.4832	sar_1
SAR_family1_S2_offspring	176673234	18.4613	sar_1
SAR_family1_S3_offspring	176673234	19.0054	sar_1
SAR_family1_S4_offspring	176673234	18.2171	sar_1
SAR_family1_S5_offspring	176673233	17.038	sar_1
SAR_family1_S6_offspring	176673234	25.076	sar_1
SAR_family2_F_female	176673234	19.4836	sar_1
SAR_family2_M_male	176673234	26.97	sar_1
SAR_family2_S1_offspring	176673234	20.5606	sar_1
SAR_family2_S2_offspring	176673234	20.3568	sar_1
SAR_family2_S3_offspring	176673234	19.9033	sar_1
SAR_family2_S4_offspring	176673234	20.0322	sar_1
SAR_family2_S5_offspring	176673234	19.773	sar_1
SAR_family2_S6_offspring	176673234	22.2568	sar_1
SAR_family3_F_female	176673234	16.5385	sar_1
SAR_family3_M_male	176673234	19.5492	sar_1
SAR_family3_S1_offspring	176673234	16.5539	sar_1
SAR_family3_S2_offspring	176673234	17.5949	sar_1
SAR_family3_S3_offspring	176673234	17.7525	sar_1
SAR_family3_S4_offspring	176673233	16.8508	sar_1
SAR_family3_S5_offspring	176673234	18.1483	sar_1
SAR_family3_S6_offspring	176673234	17.8024	sar_1
SAR_family4_F_female	176673234	22.2982	sar_1
SAR_family4_M_male	176673234	26.0962	sar_1
SAR_family4_S1_offspring	176673234	19.1533	sar_1
SAR_family4_S2_offspring	176673234	20.2288	sar_1
SAR_family4_S3_offspring	176673234	23.1703	sar_1
SAR_family4_S4_offspring	176673234	21.8183	sar_1
SAR_family4_S5_offspring	176673234	20.2974	sar_1
SAR_family4_S6_offspring	176673234	22.1042	sar_1
SAR_family5_F_female	176673234	19.4037	sar_1
SAR_family5_M_male	176673234	27.2658	sar_1
SAR_family5_S1_offspring	176673234	15.876	sar_1
SAR_family5_S2_offspring	176673234	16.8168	sar_1
SAR_family5_S3_offspring	176673233	18.2257	sar_1
SAR_family5_S4_offspring	176673234	18.7237	sar_1
SAR_family5_S5_offspring	176673234	18.0456	sar_1
SAR_family5_S6_offspring	176673234	20.0535	sar_1
SAR_family1_F_female	278254307	16.2937	sar_2
SAR_family1_M_male	278254299	20.9087	sar_2
SAR_family1_S1_offspring	278254300	15.2801	sar_2
SAR_family1_S2_offspring	278254298	16.1689	sar_2
SAR_family1_S3_offspring	278254301	16.6434	sar_2
SAR_family1_S4_offspring	278254303	16.0024	sar_2
SAR_family1_S5_offspring	278254304	14.931	sar_2
SAR_family1_S6_offspring	278254303	21.9899	sar_2
SAR_family2_F_female	278254307	17.1131	sar_2
SAR_family2_M_male	278254305	23.5608	sar_2
SAR_family2_S1_offspring	278254304	18.0932	sar_2
SAR_family2_S2_offspring	278254307	17.9176	sar_2
SAR_family2_S3_offspring	278254305	17.5832	sar_2
SAR_family2_S4_offspring	278254308	17.585	sar_2
SAR_family2_S5_offspring	278254307	17.4146	sar_2
SAR_family2_S6_offspring	278254306	19.4916	sar_2
SAR_family3_F_female	278254306	14.5211	sar_2
SAR_family3_M_male	278254305	17.1188	sar_2
SAR_family3_S1_offspring	278254306	14.5583	sar_2
SAR_family3_S2_offspring	278254304	15.4503	sar_2
SAR_family3_S3_offspring	278254306	15.6071	sar_2
SAR_family3_S4_offspring	278254306	14.7938	sar_2
SAR_family3_S5_offspring	278254305	15.9723	sar_2
SAR_family3_S6_offspring	278254307	15.6114	sar_2
SAR_family4_F_female	278254308	19.5384	sar_2
SAR_family4_M_male	278254304	22.836	sar_2
SAR_family4_S1_offspring	278254307	16.8152	sar_2
SAR_family4_S2_offspring	278254301	17.8394	sar_2
SAR_family4_S3_offspring	278254307	20.3311	sar_2
SAR_family4_S4_offspring	278254307	19.1377	sar_2
SAR_family4_S5_offspring	278254307	17.8437	sar_2
SAR_family4_S6_offspring	278254303	19.451	sar_2
SAR_family5_F_female	278254304	16.9488	sar_2
SAR_family5_M_male	278254302	23.8929	sar_2
SAR_family5_S1_offspring	278254302	13.9853	sar_2
SAR_family5_S2_offspring	278254308	14.8333	sar_2
SAR_family5_S3_offspring	278254307	16.0399	sar_2
SAR_family5_S4_offspring	278254308	16.4485	sar_2
SAR_family5_S5_offspring	278254304	15.8293	sar_2
SAR_family5_S6_offspring	278254307	17.6786	sar_2
SAR_family1_F_female	243372578	18.2961	sar_3
SAR_family1_M_male	243372578	23.5716	sar_3
SAR_family1_S1_offspring	243372578	17.1251	sar_3
SAR_family1_S2_offspring	243372575	18.1116	sar_3
SAR_family1_S3_offspring	243372577	18.6422	sar_3
SAR_family1_S4_offspring	243372577	17.8694	sar_3
SAR_family1_S5_offspring	243372578	16.6939	sar_3
SAR_family1_S6_offspring	243372578	24.5329	sar_3
SAR_family2_F_female	243372575	19.067	sar_3
SAR_family2_M_male	243372578	26.4183	sar_3
SAR_family2_S1_offspring	243372576	20.1664	sar_3
SAR_family2_S2_offspring	243372578	19.9586	sar_3
SAR_family2_S3_offspring	243372578	19.486	sar_3
SAR_family2_S4_offspring	243372578	19.6128	sar_3
SAR_family2_S5_offspring	243372578	19.3503	sar_3
SAR_family2_S6_offspring	243372578	21.8396	sar_3
SAR_family3_F_female	243372578	16.2108	sar_3
SAR_family3_M_male	243372578	19.192	sar_3
SAR_family3_S1_offspring	243372578	16.2033	sar_3
SAR_family3_S2_offspring	243372577	17.2178	sar_3
SAR_family3_S3_offspring	243372577	17.4058	sar_3
SAR_family3_S4_offspring	243372574	16.5451	sar_3
SAR_family3_S5_offspring	243372578	17.7972	sar_3
