sample_id	N_sites	mean_depth	chromosome
TEN_family1_F_female	292150997	21.3309	ten_1
TEN_family1_M_male	292150079	23.6865	ten_1
TEN_family1_S1_offspring	292150559	21.8315	ten_1
TEN_family1_S2_offspring	292150376	27.4222	ten_1
TEN_family1_S3_offspring	292151019	37.611	ten_1
TEN_family1_S4_offspring	292150260	27.965	ten_1
TEN_family1_S5_offspring	292151024	33.5622	ten_1
TEN_family1_S6_offspring	292150711	34.8324	ten_1
TEN_family2_F_female	292149591	20.68	ten_1
TEN_family2_M_male	292149745	20.9126	ten_1
TEN_family2_S1_offspring	292150208	32.2805	ten_1
TEN_family2_S2_offspring	292149910	24.7366	ten_1
TEN_family2_S3_offspring	292149674	24.486	ten_1
TEN_family2_S4_offspring	292149894	30.5981	ten_1
TEN_family2_S5_offspring	292149820	28.8054	ten_1
TEN_family2_S6_offspring	292150264	34.1065	ten_1
TEN_family3_F_female	292149864	18.519	ten_1
TEN_family3_M_male	292149573	21.7875	ten_1
TEN_family3_S1_offspring	292149931	30.3529	ten_1
TEN_family3_S2_offspring	292150094	31.0626	ten_1
TEN_family3_S3_offspring	292150182	35.4531	ten_1
TEN_family3_S4_offspring	292150286	38.227	ten_1
TEN_family3_S5_offspring	292150033	20.1164	ten_1
TEN_family3_S6_offspring	292150405	51.5031	ten_1
TEN_family4_F_female	292149542	18.1577	ten_1
TEN_family4_M_male	292149835	22.7223	ten_1
TEN_family4_S1_offspring	292150178	36.0658	ten_1
TEN_family4_S2_offspring	292150308	37.8515	ten_1
TEN_family4_S3_offspring	292149851	23.6912	ten_1
TEN_family4_S4_offspring	292150311	45.9404	ten_1
TEN_family4_S5_offspring	292150512	47.8753	ten_1
TEN_family4_S6_offspring	292150376	52.2738	ten_1
TEN_family5_F_female	292137020	0.343318	ten_1
TEN_family5_M_male	292135764	0.319451	ten_1
TEN_family5_S1_offspring	292150257	40.2818	ten_1
TEN_family5_S2_offspring	292150306	26.2755	ten_1
TEN_family5_S3_offspring	292150087	21.4671	ten_1
TEN_family5_S4_offspring	292150128	20.1189	ten_1
