spid	ind	family	ratio	sex_id
AFR	AFR_family1_S1_offspring	AFR_family1	0.5376007100445154	male
AFR	AFR_family1_S2_offspring	AFR_family1	0.548693019079839	male
AFR	AFR_family1_S3_offspring	AFR_family1	1.03842292980068	female
AFR	AFR_family1_S4_offspring	AFR_family1	1.046961429915334	female
AFR	AFR_family1_S5_offspring	AFR_family1	0.5562227526198885	male
AFR	AFR_family1_S6_offspring	AFR_family1	0.5370662628006879	male
AFR	AFR_family2_S1_offspring	AFR_family2	0.5410627178306935	male
AFR	AFR_family2_S2_offspring	AFR_family2	1.0572393348499214	female
AFR	AFR_family2_S3_offspring	AFR_family2	1.0562873302569868	female
AFR	AFR_family2_S4_offspring	AFR_family2	1.0522429466131582	female
AFR	AFR_family2_S5_offspring	AFR_family2	1.0530256429609224	female
AFR	AFR_family2_S6_offspring	AFR_family2	1.0490804808382592	female
AFR	AFR_family3_S1_offspring	AFR_family3	1.0425413503706507	female
AFR	AFR_family3_S2_offspring	AFR_family3	0.5397057823190139	male
AFR	AFR_family3_S3_offspring	AFR_family3	1.052039393843697	female
AFR	AFR_family3_S4_offspring	AFR_family3	1.0567615990444552	female
AFR	AFR_family3_S5_offspring	AFR_family3	0.5437121988414259	male
AFR	AFR_family3_S6_offspring	AFR_family3	1.0391135778991516	female
AFR	AFR_family4_S1_offspring	AFR_family4	0.5293869574161695	male
AFR	AFR_family4_S2_offspring	AFR_family4	1.0202561705384157	female
AFR	AFR_family4_S3_offspring	AFR_family4	1.0207351555136663	female
AFR	AFR_family4_S4_offspring	AFR_family4	0.5285942056349257	male
AFR	AFR_family4_S5_offspring	AFR_family4	0.5291666089749804	male
AFR	AFR_family4_S6_offspring	AFR_family4	1.035036665842715	female
MIM	MIM_family1_S1_offspring	MIM_family1	0.5185401963921781	male
MIM	MIM_family1_S2_offspring	MIM_family1	0.5210793012545005	male
MIM	MIM_family1_S3_offspring	MIM_family1	0.5203097354565027	male
MIM	MIM_family1_S4_offspring	MIM_family1	1.0322750456225727	female
MIM	MIM_family1_S5_offspring	MIM_family1	0.52186096954253125	male
MIM	MIM_family1_S6_offspring	MIM_family1	0.5204497787717361	male
MIM	MIM_family2_S1_offspring	MIM_family2	1.0385650390231824	female
MIM	MIM_family2_S2_offspring	MIM_family2	1.0339344308270466	female
MIM	MIM_family2_S3_offspring	MIM_family2	1.036108856949554	female
MIM	MIM_family2_S4_offspring	MIM_family2	1.035356645729709	female
MIM	MIM_family2_S5_offspring	MIM_family2	1.031840953747962	female
MIM	MIM_family2_S6_offspring	MIM_family2	1.0382065045784654	female
MIM	MIM_family3_S1_offspring	MIM_family3	1.0248834477882045	female
MIM	MIM_family3_S2_offspring	MIM_family3	1.0332630739209836	female
MIM	MIM_family3_S3_offspring	MIM_family3	1.0341574805591176	female
