sample_id	N_sites	mean_depth	chromosome
BIC_family1_F_female	157199240	25.3118	bic_1
BIC_family1_M_male	157199226	28.3266	bic_1
BIC_family1_S1_offspring	157199235	25.8281	bic_1
BIC_family1_S2_offspring	157199201	26.1087	bic_1
BIC_family1_S3_offspring	157199227	26.274	bic_1
BIC_family1_S4_offspring	157199232	28.6154	bic_1
BIC_family1_S5_offspring	157199230	28.5807	bic_1
BIC_family1_S6_offspring	157199226	25.7277	bic_1
BIC_family2_F_female	157199206	17.5519	bic_1
BIC_family2_M_male	157199233	28.1865	bic_1
BIC_family2_S1_offspring	157199210	25.9722	bic_1
BIC_family2_S2_offspring	157199227	26.2241	bic_1
BIC_family2_S3_offspring	157199240	26.6883	bic_1
BIC_family2_S4_offspring	157199236	26.1697	bic_1
BIC_family2_S5_offspring	157199240	25.2181	bic_1
BIC_family2_S6_offspring	157199245	27.9588	bic_1
BIC_family3_F_female	157199254	23.4032	bic_1
BIC_family3_M_male	157199237	28.2116	bic_1
BIC_family3_S1_offspring	157199248	25.511	bic_1
BIC_family3_S2_offspring	157199252	26.1184	bic_1
BIC_family3_S3_offspring	157199228	27.5473	bic_1
BIC_family3_S4_offspring	157199270	28.3645	bic_1
BIC_family3_S5_offspring	157199223	26.0729	bic_1
BIC_family3_S6_offspring	157199199	27.1191	bic_1
BIC_family4_F_female	157199217	24.4994	bic_1
BIC_family4_M_male	157199238	28.1997	bic_1
BIC_family4_S1_offspring	157199225	28.5083	bic_1
BIC_family4_S2_offspring	157199228	28.4109	bic_1
BIC_family4_S3_offspring	157199240	28.7668	bic_1
BIC_family4_S4_offspring	157199232	26.2732	bic_1
BIC_family4_S5_offspring	157199246	26.4802	bic_1
BIC_family4_S6_offspring	157199204	26.2391	bic_1
BIC_family5_F_female	157199212	24.6571	bic_1
BIC_family5_M_male	157199254	27.737	bic_1
BIC_family5_S1_offspring	157199227	26.1726	bic_1
BIC_family5_S2_offspring	157199249	28.5175	bic_1
BIC_family5_S3_offspring	157199247	26.676	bic_1
BIC_family5_S4_offspring	157199253	26.2757	bic_1
BIC_family5_S5_offspring	157199227	26.1948	bic_1
BIC_family5_S6_offspring	157199245	28.4539	bic_1
BIC_family1_F_female	230803468	23.6961	bic_2
BIC_family1_M_male	230803467	25.977	bic_2
BIC_family1_S1_offspring	230803470	23.9365	bic_2
BIC_family1_S2_offspring	230803454	24.3268	bic_2
BIC_family1_S3_offspring	230803469	24.3667	bic_2
BIC_family1_S4_offspring	230803481	26.4435	bic_2
BIC_family1_S5_offspring	230803489	26.384	bic_2
BIC_family1_S6_offspring	230803464	24.0005	bic_2
BIC_family2_F_female	230803425	16.5361	bic_2
BIC_family2_M_male	230803468	25.7929	bic_2
BIC_family2_S1_offspring	230803438	24.0112	bic_2
BIC_family2_S2_offspring	230803462	24.4053	bic_2
BIC_family2_S3_offspring	230803481	24.5715	bic_2
BIC_family2_S4_offspring	230803470	24.0959	bic_2
BIC_family2_S5_offspring	230803438	23.136	bic_2
