sample_id	N_sites	mean_depth	chromosome
DUM_family1_F_female	296594658	28.2842	dum_1
DUM_family1_M_male	296594665	26.5988	dum_1
DUM_family1_S1_offspring	296594644	24.6209	dum_1
DUM_family1_S2_offspring	296594664	26.6088	dum_1
DUM_family1_S3_offspring	296594657	24.8792	dum_1
DUM_family1_S4_offspring	296594664	30.735	dum_1
DUM_family1_S5_offspring	296594655	23.9697	dum_1
DUM_family1_S6_offspring	296594667	31.6203	dum_1
DUM_family2_F_female	296594657	40.8966	dum_1
DUM_family2_M_male	296594664	24.7744	dum_1
DUM_family2_S1_offspring	296594664	24.385	dum_1
DUM_family2_S2_offspring	296594663	33.7786	dum_1
DUM_family2_S3_offspring	296594661	23.1715	dum_1
DUM_family2_S4_offspring	296594646	23.0453	dum_1
DUM_family2_S5_offspring	296594653	20.3515	dum_1
DUM_family2_S6_offspring	296594651	21.9848	dum_1
DUM_family3_F_female	296594582	23.536	dum_1
DUM_family3_M_male	296594552	28.566	dum_1
DUM_family3_S1_offspring	296594569	16.3582	dum_1
DUM_family3_S2_offspring	296594563	23.3913	dum_1
DUM_family3_S4_offspring	296594564	18.6973	dum_1
DUM_family3_S5_offspring	296594584	18.0323	dum_1
DUM_family3_S6_offspring	296594556	20.4786	dum_1
DUM_family4_F_female	296594661	20.5544	dum_1
DUM_family4_M_male	296594660	24.4172	dum_1
DUM_family4_S1_offspring	296594646	25.3965	dum_1
DUM_family4_S2_offspring	296594666	35.6053	dum_1
DUM_family4_S3_offspring	296594662	24.926	dum_1
DUM_family4_S4_offspring	296594646	23.3543	dum_1
DUM_family4_S5_offspring	296594651	24.8763	dum_1
DUM_family4_S6_offspring	296594657	23.1603	dum_1
DUM_family5_F_female	296594645	27.8038	dum_1
DUM_family5_M_male	296581372	0.420639	dum_1
DUM_family5_S1_offspring	296594653	23.6862	dum_1
DUM_family5_S2_offspring	296594648	23.625	dum_1
DUM_family5_S3_offspring	296594636	18.648	dum_1
DUM_family5_S4_offspring	296594644	20.6365	dum_1
DUM_family5_S5_offspring	296594650	21.0119	dum_1
