species	individual	callable_mb	genome_autosome_mb	callable_pct
AFR	AFR_family1_S1_offspring	1107.631284	2467.472614	44.889304048016484
AFR	AFR_family1_S2_offspring	1140.448138	2467.472614	46.21928249696879
AFR	AFR_family1_S3_offspring	987.010397	2467.472614	40.000865314568394
AFR	AFR_family1_S4_offspring	1008.917135	2467.472614	40.888686232040996
AFR	AFR_family1_S5_offspring	1078.511397	2467.472614	43.70915368546417
AFR	AFR_family1_S6_offspring	1061.280627	2467.472614	43.0108371204804
AFR	AFR_family2_S1_offspring	1193.670845	2467.472614	48.376255048478534
AFR	AFR_family2_S2_offspring	1100.995213	2467.472614	44.6203620154951
AFR	AFR_family2_S3_offspring	1096.691882	2467.472614	44.44595963406304
AFR	AFR_family2_S4_offspring	1062.477563	2467.472614	43.05934570344131
AFR	AFR_family2_S5_offspring	1077.548785	2467.472614	43.67014162127597
AFR	AFR_family2_S6_offspring	1037.496851	2467.472614	42.04694492305317
AFR	AFR_family3_S1_offspring	976.021203	2467.472614	39.55550296535125
AFR	AFR_family3_S2_offspring	1035.957719	2467.472614	41.984568060539374
AFR	AFR_family3_S3_offspring	671.917992	2467.472614	27.231021255824974
AFR	AFR_family3_S4_offspring	1020.758552	2467.472614	41.36858687745501
AFR	AFR_family3_S5_offspring	1063.805537	2467.472614	43.11316490258724
AFR	AFR_family3_S6_offspring	976.223844	2467.472614	39.563715457714906
AFR	AFR_family4_S1_offspring	1047.084642	2467.472614	42.43551219409806
AFR	AFR_family4_S2_offspring	862.447964	2467.472614	34.95268636849803
AFR	AFR_family4_S3_offspring	615.652412	2467.472614	24.950729280920807
AFR	AFR_family4_S4_offspring	1012.448713	2467.472614	41.03181154901361
AFR	AFR_family4_S5_offspring	1048.016501	2467.472614	42.47327792226512
AFR	AFR_family4_S6_offspring	961.869229	2467.472614	38.98196168591803
BIC	BIC_family1_S1_offspring	907.048894	2551.272008	35.552810172955894
BIC	BIC_family1_S2_offspring	910.939549	2551.272008	35.70530880845223
BIC	BIC_family1_S3_offspring	908.541075	2551.272008	35.61129789967891
BIC	BIC_family1_S4_offspring	1003.895238	2551.272008	39.34881246892119
BIC	BIC_family1_S5_offspring	981.840171	2551.272008	38.48433910305342
BIC	BIC_family1_S6_offspring	897.214076	2551.272008	35.167323326819485
BIC	BIC_family2_S1_offspring	143.69136	2551.272008	5.6321458295872935
BIC	BIC_family2_S2_offspring	149.290218	2551.272008	5.8515994191082745
BIC	BIC_family2_S3_offspring	142.207414	2551.272008	5.573980883029389
BIC	BIC_family2_S4_offspring	146.237868	2551.272008	5.731959098890408
BIC	BIC_family2_S5_offspring	132.299166	2551.272008	5.185615864758863
BIC	BIC_family2_S6_offspring	154.768694	2551.272008	6.066334499602287
BIC	BIC_family3_S1_offspring	715.272183	2551.272008	28.035904472636698
BIC	BIC_family3_S2_offspring	751.534786	2551.272008	29.45725832617688
BIC	BIC_family3_S3_offspring	776.827975	2551.272008	30.448653556504667
BIC	BIC_family3_S4_offspring	827.471934	2551.272008	32.43370096976347
BIC	BIC_family3_S5_offspring	736.184212	2551.272008	28.85557516766358
BIC	BIC_family3_S6_offspring	710.293903	2551.272008	27.840775141683757
BIC	BIC_family4_S1_offspring	957.296053	2551.272008	37.52230456016511
BIC	BIC_family4_S2_offspring	961.576379	2551.272008	37.69007679247034
BIC	BIC_family4_S3_offspring	961.443132	2551.272008	37.684854025176925
BIC	BIC_family4_S4_offspring	894.191902	2551.272008	35.048865789147165
BIC	BIC_family4_S5_offspring	908.215251	2551.272008	35.598526858450136
BIC	BIC_family4_S6_offspring	891.827514	2551.272008	34.95619091980411
BIC	BIC_family5_S1_offspring	862.074601	2551.272008	33.78999174908832
BIC	BIC_family5_S2_offspring	991.808235	2551.272008	38.8750486772871
BIC	BIC_family5_S3_offspring	935.0807	2551.272008	36.651548602731346
BIC	BIC_family5_S4_offspring	917.197771	2551.272008	35.95060691780223
BIC	BIC_family5_S5_offspring	902.752614	2551.272008	35.384412605525675
BIC	BIC_family5_S6_offspring	992.869367	2551.272008	38.91664094956041
DUM	DUM_family1_S1_offspring	1106.386344	2678.169464	41.3112896279367
DUM	DUM_family1_S2_offspring	1223.615572	2678.169464	45.68850434775923
DUM	DUM_family1_S3_offspring	1128.955952	2678.169464	42.154014791649494
DUM	DUM_family1_S4_offspring	1355.898358	2678.169464	50.62780291635794
DUM	DUM_family1_S5_offspring	1056.408342	2678.169464	39.44516417651157
DUM	DUM_family1_S6_offspring	1365.330937	2678.169464	50.98000538624616
DUM	DUM_family2_S1_offspring	1098.57726	2678.169464	41.019706735032806
DUM	DUM_family2_S2_offspring	1387.170754	2678.169464	51.79548093002975
DUM	DUM_family2_S3_offspring	993.772904	2678.169464	37.10642352391484
DUM	DUM_family2_S4_offspring	980.598028	2678.169464	36.614487663354225
DUM	DUM_family2_S5_offspring	667.752145	2678.169464	24.933155051460925
DUM	DUM_family2_S6_offspring	864.96847	2678.169464	32.29700292034993
DUM	DUM_family3_S1_offspring	198.328095	2678.169464	7.405360178507359
DUM	DUM_family3_S2_offspring	885.421988	2678.169464	33.060715533570885
DUM	DUM_family3_S3_offspring	1178.807242	2678.169464	44.01540895173167
DUM	DUM_family3_S4_offspring	438.057959	2678.169464	16.356618387610737
DUM	DUM_family3_S5_offspring	364.579525	2678.169464	13.61301179408862
DUM	DUM_family3_S6_offspring	627.307223	2678.169464	23.42298467039799
DUM	DUM_family4_S1_offspring	592.229202	2678.169464	22.113208665872534
DUM	DUM_family4_S2_offspring	681.741566	2678.169464	25.455505156189027
DUM	DUM_family4_S3_offspring	578.292223	2678.169464	21.592816689661127
DUM	DUM_family4_S4_offspring	520.87397	2678.169464	19.44888017735983
DUM	DUM_family4_S5_offspring	579.806874	2678.169464	21.649372147422856
DUM	DUM_family4_S6_offspring	513.415977	2678.169464	19.170406649069314
LIN	LIN_family1_S1_offspring	1416.970888	2253.725201	62.87238956068273
LIN	LIN_family1_S2_offspring	1360.349515	2253.725201	60.3600436466877
LIN	LIN_family1_S3_offspring	1328.624483	2253.725201	58.95237282746256
LIN	LIN_family1_S4_offspring	1272.616235	2253.725201	56.46723187171744
LIN	LIN_family1_S5_offspring	1352.544283	2253.725201	60.01371783924068
LIN	LIN_family1_S6_offspring	1302.33264	2253.725201	57.78577793877187
LIN	LIN_family2_S1_offspring	1221.545028	2253.725201	54.201152272601306
LIN	LIN_family2_S2_offspring	1167.824302	2253.725201	51.81751091401138
LIN	LIN_family2_S3_offspring	1231.673045	2253.725201	54.65054233113666
LIN	LIN_family2_S4_offspring	1229.168843	2253.725201	54.539428429633105
LIN	LIN_family2_S5_offspring	1228.999983	2253.725201	54.531935945637045
LIN	LIN_family2_S6_offspring	1198.216646	2253.725201	53.166049058169975
LIN	LIN_family3_S1_offspring	829.081477	2253.725201	36.787159172383944
LIN	LIN_family3_S2_offspring	1068.998871	2253.725201	47.43252950828587
