Gene	UniqueAbsence
SARA.HiC_1_file_1_file_1_jg2435	0
SARA.HiC_12_file_1_file_1_jg889	0
SARA.HiC_1_file_1_file_1_jg3434	0
SARA.HiC_11_file_1_file_1_jg1648	0
SARA.HiC_1_file_1_file_1_jg2101	0
SARA.HiC_1_file_1_file_1_jg3270	0
SARA.HiC_1_file_1_file_1_jg2670	0
SARA.HiC_1_file_1_file_1_jg3612	0
SARA.HiC_12_file_1_file_1_jg1455	0
SARA.HiC_1_file_1_file_1_jg2946	0
SARA.HiC_12_file_1_file_1_jg1281	0
SARA.HiC_1_file_1_file_1_jg3034	0
SARA.HiC_12_file_1_file_1_jg344	0
SARA.HiC_12_file_1_file_1_jg1821	0
SARA.HiC_12_file_1_file_1_jg1082	0
SARA.HiC_12_file_1_file_1_jg1907	0
SARA.HiC_12_file_1_file_1_jg2430	0
SARA.HiC_12_file_1_file_1_jg2276	0
SARA.HiC_1_file_1_file_1_jg2386	0
SARA.HiC_12_file_1_file_1_jg481	0
SARA.HiC_12_file_1_file_1_jg1218	0
SARA.HiC_12_file_1_file_1_jg2147	0
SARA.HiC_12_file_1_file_1_jg2307	0
SARA.HiC_1_file_1_file_1_jg3591	0
SARA.HiC_1_file_1_file_1_jg2115	0
SARA.HiC_1_file_1_file_1_jg3071	0
SARA.HiC_12_file_1_file_1_jg243	0
SARA.HiC_12_file_1_file_1_jg400	0
SARA.HiC_1_file_1_file_1_jg2118	0
SARA.HiC_12_file_1_file_1_jg2557	0
SARA.HiC_2_file_1_file_1_jg2044	0
SARA.HiC_12_file_1_file_1_jg794	0
SARA.HiC_12_file_1_file_1_jg1489	0
SARA.HiC_1_file_1_file_1_jg2927	0
SARA.HiC_1_file_1_file_1_jg3096	0
SARA.HiC_12_file_1_file_1_jg1139	0
SARA.HiC_12_file_1_file_1_jg2080	0
SARA.HiC_1_file_1_file_1_jg2652	0
SARA.HiC_1_file_1_file_1_jg2112	0
SARA.HiC_1_file_1_file_1_jg2605	0
SARA.HiC_12_file_1_file_1_jg1863	0
SARA.HiC_1_file_1_file_1_jg2094	0
SARA.HiC_1_file_1_file_1_jg2262	0
SARA.HiC_1_file_1_file_1_jg2653	0
SARA.HiC_1_file_1_file_1_jg2782	0
SARA.HiC_6_file_1_file_1_jg1393	0
SARA.HiC_6_file_1_file_1_jg454	0
SARA.HiC_6_file_1_file_1_jg1712	0
SARA.HiC_6_file_1_file_1_jg917	0
SARA.HiC_6_file_1_file_1_jg870	0
SARA.HiC_6_file_1_file_1_jg2019	0
SARA.HiC_6_file_1_file_1_jg2997	0
SARA.HiC_6_file_1_file_1_jg801	0
SARA.HiC_6_file_1_file_1_jg3123	0
SARA.HiC_6_file_1_file_1_jg1606	0
SARA.HiC_6_file_1_file_1_jg1641	0
SARA.HiC_6_file_1_file_1_jg2740	0
SARA.HiC_6_file_1_file_1_jg2165	0
SARA.HiC_6_file_1_file_1_jg340	0
SARA.HiC_6_file_1_file_1_jg1365	0
SARA.HiC_6_file_1_file_1_jg2676	0
SARA.HiC_6_file_1_file_1_jg424	0
SARA.HiC_6_file_1_file_1_jg2527	0
SARA.HiC_6_file_1_file_1_jg3065	0
SARA.HiC_6_file_1_file_1_jg858	0
SARA.HiC_6_file_1_file_1_jg3012	0
SARA.HiC_6_file_1_file_1_jg2089	0
SARA.HiC_6_file_1_file_1_jg553	0
SARA.HiC_6_file_1_file_1_jg1446	0
SARA.HiC_6_file_1_file_1_jg869	0
SARA.HiC_6_file_1_file_1_jg1183	0
SARA.HiC_6_file_1_file_1_jg894	0
SARA.HiC_6_file_1_file_1_jg1492	0
SARA.HiC_6_file_1_file_1_jg3126	0
SARA.HiC_6_file_1_file_1_jg1478	0
SARA.HiC_6_file_1_file_1_jg124	0
SARA.HiC_6_file_1_file_1_jg3048	0
SARA.HiC_10_file_1_file_1_jg1915	0
SARA.HiC_6_file_1_file_1_jg1503	0
SARA.HiC_6_file_1_file_1_jg2734	0
SARA.HiC_6_file_1_file_1_jg976	0
SARA.HiC_6_file_1_file_1_jg969	0
SARA.HiC_6_file_1_file_1_jg485	0
SARA.HiC_6_file_1_file_1_jg1697	0
SARA.HiC_6_file_1_file_1_jg1408	0
SARA.HiC_6_file_1_file_1_jg3006	0
SARA.HiC_6_file_1_file_1_jg1065	0
SARA.HiC_10_file_1_file_1_jg2494	0
SARA.HiC_6_file_1_file_1_jg2502	0
SARA.HiC_10_file_1_file_1_jg2354	0
SARA.HiC_10_file_1_file_1_jg13	0
SARA.HiC_10_file_1_file_1_jg1839	0
SARA.HiC_10_file_1_file_1_jg237	0
SARA.HiC_10_file_1_file_1_jg2180	0
SARA.HiC_10_file_1_file_1_jg1520	0
SARA.HiC_10_file_1_file_1_jg787	0
SARA.HiC_10_file_1_file_1_jg22	0
SARA.HiC_10_file_1_file_1_jg1073	0
SARA.HiC_10_file_1_file_1_jg337	0
SARA.HiC_10_file_1_file_1_jg1580	0
SARA.HiC_10_file_1_file_1_jg857	0
SARA.HiC_10_file_1_file_1_jg2344	0
SARA.HiC_10_file_1_file_1_jg2334	0
SARA.HiC_10_file_1_file_1_jg859	0
SARA.HiC_10_file_1_file_1_jg2382	0
SARA.HiC_10_file_1_file_1_jg1145	0
SARA.HiC_10_file_1_file_1_jg973	0
SARA.HiC_10_file_1_file_1_jg2289	0
SARA.HiC_10_file_1_file_1_jg202	0
SARA.HiC_10_file_1_file_1_jg2032	0
SARA.HiC_10_file_1_file_1_jg234	0
SARA.HiC_10_file_1_file_1_jg1320	0
SARA.HiC_10_file_1_file_1_jg743	0
SARA.HiC_10_file_1_file_1_jg1180	0
SARA.HiC_10_file_1_file_1_jg974	0
SARA.HiC_10_file_1_file_1_jg1194	0
SARA.HiC_10_file_1_file_1_jg2362	0
SARA.HiC_10_file_1_file_1_jg1287	0
SARA.HiC_10_file_1_file_1_jg1240	0
SARA.HiC_10_file_1_file_1_jg1167	0
SARA.HiC_10_file_1_file_1_jg229	0
SARA.HiC_10_file_1_file_1_jg2296	0
SARA.HiC_10_file_1_file_1_jg1360	0
SARA.HiC_10_file_1_file_1_jg786	0
SARA.HiC_10_file_1_file_1_jg609	0
SARA.HiC_10_file_1_file_1_jg2415	0
SARA.HiC_10_file_1_file_1_jg2418	0
SARA.HiC_10_file_1_file_1_jg273	0
SARA.HiC_10_file_1_file_1_jg805	0
SARA.HiC_10_file_1_file_1_jg2186	0
SARA.HiC_11_file_1_file_1_jg519	0
SARA.HiC_11_file_1_file_1_jg2596	0
SARA.HiC_11_file_1_file_1_jg53	0
SARA.HiC_11_file_1_file_1_jg866	0
SARA.HiC_11_file_1_file_1_jg1246	0
SARA.HiC_11_file_1_file_1_jg2124	0
SARA.HiC_11_file_1_file_1_jg515	0
SARA.HiC_11_file_1_file_1_jg331	0
SARA.HiC_11_file_1_file_1_jg453	0
SARA.HiC_11_file_1_file_1_jg205	0
SARA.HiC_11_file_1_file_1_jg1599	0
SARA.HiC_11_file_1_file_1_jg2075	0
SARA.HiC_11_file_1_file_1_jg927	0
SARA.HiC_11_file_1_file_1_jg2377	0
SARA.HiC_11_file_1_file_1_jg481	0
SARA.HiC_11_file_1_file_1_jg938	0
SARA.HiC_11_file_1_file_1_jg47	0
SARA.HiC_11_file_1_file_1_jg2646	0
SARA.HiC_11_file_1_file_1_jg1084	0
SARA.HiC_11_file_1_file_1_jg1442	0
SARA.HiC_11_file_1_file_1_jg2691	0
SARA.HiC_11_file_1_file_1_jg2108	0
SARA.HiC_11_file_1_file_1_jg1593	0
SARA.HiC_11_file_1_file_1_jg2277	0
SARA.HiC_11_file_1_file_1_jg1249	0
SARA.HiC_11_file_1_file_1_jg2352	0
SARA.HiC_11_file_1_file_1_jg2041	0
SARA.HiC_11_file_1_file_1_jg773	0
SARA.HiC_11_file_1_file_1_jg2255	0
SARA.HiC_11_file_1_file_1_jg1875	0
SARA.HiC_11_file_1_file_1_jg523	0
SARA.HiC_11_file_1_file_1_jg32	0
SARA.HiC_11_file_1_file_1_jg479	0
SARA.HiC_11_file_1_file_1_jg1429	0
SARA.HiC_11_file_1_file_1_jg69	0
SARA.HiC_11_file_1_file_1_jg594	0
SARA.HiC_11_file_1_file_1_jg2379	0
SARA.HiC_11_file_1_file_1_jg902	0
SARA.HiC_11_file_1_file_1_jg209	0
SARA.HiC_11_file_1_file_1_jg539	0
SARA.HiC_11_file_1_file_1_jg980	0
SARA.HiC_11_file_1_file_1_jg2267	0
SARA.HiC_11_file_1_file_1_jg1287	0
SARA.HiC_11_file_1_file_1_jg375	0
SARA.HiC_11_file_1_file_1_jg210	0
SARA.HiC_11_file_1_file_1_jg1304	0
SARA.HiC_11_file_1_file_1_jg524	0
SARA.HiC_11_file_1_file_1_jg354	0
SARA.HiC_1_file_1_file_1_jg4522	0
SARA.HiC_1_file_1_file_1_jg1256	0
SARA.HiC_1_file_1_file_1_jg1367	0
SARA.HiC_1_file_1_file_1_jg4117	0
SARA.HiC_1_file_1_file_1_jg732	0
SARA.HiC_13_file_1_file_1_jg702	0
SARA.HiC_1_file_1_file_1_jg1184	0
SARA.HiC_1_file_1_file_1_jg1007	0
SARA.HiC_1_file_1_file_1_jg1228	0
SARA.HiC_1_file_1_file_1_jg1585	0
SARA.HiC_1_file_1_file_1_jg4413	0
SARA.HiC_1_file_1_file_1_jg4102	0
SARA.HiC_1_file_1_file_1_jg812	0
SARA.HiC_11_file_1_file_1_jg2825	0
SARA.HiC_11_file_1_file_1_jg2270	0
SARA.HiC_6_file_1_file_1_jg2132	0
SARA.HiC_1_file_1_file_1_jg4606	0
SARA.HiC_1_file_1_file_1_jg624	0
SARA.HiC_6_file_1_file_1_jg1660	0
SARA.HiC_1_file_1_file_1_jg3958	0
SARA.HiC_1_file_1_file_1_jg3990	0
SARA.HiC_1_file_1_file_1_jg4062	0
SARA.HiC_1_file_1_file_1_jg4008	0
SARA.HiC_1_file_1_file_1_jg1202	0
SARA.HiC_1_file_1_file_1_jg760	0
SARA.HiC_1_file_1_file_1_jg4398	0
SARA.HiC_1_file_1_file_1_jg623	0
SARA.HiC_1_file_1_file_1_jg1269	0
SARA.HiC_1_file_1_file_1_jg4473	0
